dataset_id,sample_id,spots_raw,spots_in_tissue,spots_pass_qc,median_counts,median_genes,image_available,include_after_qc,qc_exclusion_reason
GSE282302,GSM8641003_C1_D10_ROI1_s1,3150,3150,3150,4846.5,2384.5,true,true,
GSE282302,GSM8641004_C1_D10_ROI2_s1,3826,3826,3826,12484.0,3741.0,true,true,
GSE282302,GSM8641005_C1_D11_ROI1_s1,3536,3536,3536,14253.0,5100.5,true,true,
GSE282302,GSM8641006_C1_D11_ROI2_s1,3664,3664,3664,12038.5,4734.5,true,true,
GSE282302,GSM8641007_C1_D12_ROI1_s1,4440,4440,4440,5139.5,2415.0,true,true,
GSE282302,GSM8641008_C1_D12_ROI2_s1,3706,3706,3706,6973.0,3205.0,true,true,
GSE282302,GSM8641009_C1_D13_ROI1_s1,4105,4105,4105,7491.0,3206.0,true,true,
GSE282302,GSM8641010_C1_D13_ROI2_s1,4647,4647,4647,9343.0,3924.0,true,true,
GSE282302,GSM8641011_C1_D14_ROI1_s1,3824,3824,3824,6118.5,3059.0,true,true,
GSE282302,GSM8641012_C1_D14_ROI2_s1,4261,4261,4261,13239.0,4889.0,true,true,
GSE282302,GSM8641013_C1_D14_ROI3_s1,3343,3343,3343,4978.0,2476.0,true,true,
GSE282302,GSM8641014_C1_D1_ROI1_s1,1861,1861,1861,6988.0,3117.0,true,true,
GSE282302,GSM8641015_C1_D2_ROI1_s1,2302,2302,2302,1434.0,848.0,true,true,
GSE282302,GSM8641016_C1_D3_ROI1_s1,2141,2141,2141,10415.0,4319.0,true,true,
GSE282302,GSM8641017_C1_D4_ROI1_s1,2979,2979,2979,7686.0,3372.0,true,true,
GSE282302,GSM8641018_C1_D5_ROI1_s1,3119,3119,3119,8628.0,3718.0,true,true,
GSE282302,GSM8641019_C1_D6_ROI1_s1,3249,3249,3249,6461.0,2789.0,true,true,
GSE282302,GSM8641020_C1_D7_ROI1_s1,3923,3923,3923,11491.0,4637.0,true,true,
GSE282302,GSM8641021_C1_D8_ROI1_s1,3743,3743,3743,2181.0,1261.0,true,true,
GSE282302,GSM8641022_C1_D8_ROI3_s1,3689,3689,3689,4271.0,2169.0,true,true,
GSE282302,GSM8641023_C1_D9_ROI1_s1,3671,3671,3671,4212.0,2195.0,true,true,
GSE282302,GSM8641024_C1_D9_ROI2_s1,3477,3477,3477,1459.0,835.0,true,true,
GSE282302,GSM8641025_C2_D1,2387,2387,2387,28121.0,7617.0,true,true,
GSE282302,GSM8641026_C2_D10_s1,3901,3901,3901,24488.0,7274.0,true,true,
GSE282302,GSM8641027_C2_D10_s2,3760,3760,3760,19279.5,6461.5,true,true,
GSE282302,GSM8641028_C2_D10_s3,4086,4086,4086,25801.5,7484.0,true,true,
GSE282302,GSM8641029_C2_D10_s4,4305,4305,4305,29372.0,7947.0,true,true,
GSE282302,GSM8641030_C2_D11_ROI1_s1,2572,2572,2572,12220.5,4576.5,true,true,
GSE282302,GSM8641031_C2_D11_ROI1_s2,1854,1854,1854,14610.5,5025.0,true,true,
GSE282302,GSM8641032_C2_D11_ROI2_s1,3379,3379,3379,16153.0,4291.0,true,true,
GSE282302,GSM8641033_C2_D11_ROI2_s2,3100,3100,3100,13030.5,3816.5,true,true,
GSE282302,GSM8641034_C2_D11_ROI3_s1,2516,2516,2516,10255.0,3873.5,true,true,
GSE282302,GSM8641035_C2_D11_ROI3_s2,2508,2508,2508,8647.5,3415.0,true,true,
GSE282302,GSM8641036_C2_D11_ROI4_s1,2255,2255,2255,8850.0,3671.0,true,true,
GSE282302,GSM8641037_C2_D11_ROI4_s2,2243,2243,2243,9091.0,3740.0,true,true,
GSE282302,GSM8641038_C2_D12,2261,2261,2261,2411.0,1336.0,true,true,
GSE282302,GSM8641039_C2_D13,3207,3207,3207,2467.0,1354.0,true,true,
GSE282302,GSM8641040_C2_D2,3064,3064,3064,16300.0,5820.5,true,true,
GSE282302,GSM8641041_C2_D3,3345,3345,3345,14843.0,5434.0,true,true,
GSE282302,GSM8641042_C2_D4,3899,3899,3899,9658.0,3794.0,true,true,
GSE282302,GSM8641043_C2_D5_ROI1_s6,2203,2203,2203,33360.0,7909.0,true,true,
GSE282302,GSM8641044_C2_D5_ROI2_s2,3419,3419,3419,17132.0,6101.0,true,true,
GSE282302,GSM8641045_C2_D6_s1,3623,3623,3623,111363.0,11346.0,true,true,
GSE282302,GSM8641046_C2_D6_s2,3733,3733,3733,41095.0,8638.0,true,true,
GSE282302,GSM8641047_C2_D7_s1,4210,4210,4210,15939.0,5550.0,true,true,
GSE282302,GSM8641048_C2_D7_s2,4154,4154,4154,11995.0,4662.0,true,true,
GSE282302,GSM8641049_C2_D8_ROI1_s1,2534,2534,2534,10935.0,4123.5,true,true,
GSE282302,GSM8641050_C2_D8_ROI1_s2,2487,2487,2487,10038.0,3913.0,true,true,
GSE282302,GSM8641051_C2_D8_ROI2_s1,2776,2776,2776,11695.0,4258.5,true,true,
GSE282302,GSM8641052_C2_D8_ROI2_s2,2694,2694,2694,12789.5,4586.5,true,true,
GSE282302,GSM8641053_C2_D9_s2,2364,2364,2364,5373.5,2795.0,true,true,
GSE282302,GSM8641054_C2_D9_s4,2395,2395,2395,11882.0,4786.0,true,true,
