pair,label_set,k,patient_id,sample_id,roi_id,site,site_status,source_label,target_label,n_cells,n_source,n_target,n_edges,observed_neighbor_fraction,expected_target_fraction,observed_expected_ratio,log2_oe,random_label_null_mean,random_label_p_greater,abundance_matched_null_mean,abundance_matched_p_greater,density_stratified_null_mean,density_stratified_p_greater
CAF_stromal_to_myeloid,compartment_author,10,PA2,1,ROI_1,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,4141,1370,441,13700,0.109343065693431,0.106496015455204,1.02673386629591,0.0380622775358577,0.10715401459854,0.316831683168317,0.10614598540146,0.237623762376238,0.105367883211679,0.148514851485149
CAF_stromal_to_myeloid,compartment_author,10,PA2,2,ROI_2,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,2996,711,598,7110,0.192545710267229,0.199599465954606,0.96466044809468,-0.0519068789882321,0.199568213783404,0.881188118811881,0.199389592123769,0.821782178217822,0.200059071729958,0.871287128712871
CAF_stromal_to_myeloid,compartment_author,10,PA2,3,ROI_3,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3497,819,428,8190,0.118803418803419,0.122390620531884,0.970690550363448,-0.0429166474506901,0.123026862026862,0.841584158415842,0.122103785103785,0.752475247524752,0.120622710622711,0.633663366336634
CAF_stromal_to_myeloid,compartment_author,10,PA2,4,ROI_4,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,2117,1600,27,16000,0.0115625,0.0127538970240907,0.906585648148148,-0.141484772301654,0.012813125,0.97029702970297,0.012738125,0.95049504950495,0.01255625,0.940594059405941
CAF_stromal_to_myeloid,compartment_author,10,PA3,5,ROI_5,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3780,1899,233,18990,0.0864665613480779,0.0616402116402116,1.40276223989586,0.4882705011951,0.0614597156398104,0.0099009900990099,0.0617514481305951,0.0099009900990099,0.0631205897840969,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA3,6,ROI_6,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,4336,1492,863,14920,0.223123324396783,0.199031365313653,1.12104604239218,0.16484553217258,0.199376675603217,0.0099009900990099,0.19752144772118,0.0099009900990099,0.199256702412869,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA4,7,ROI_7,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,5559,1451,824,14510,0.140592694693315,0.148228098578881,0.948488822572983,-0.0762973225300453,0.148572708476912,1,0.148691936595451,0.99009900990099,0.147958649207443,0.96039603960396
CAF_stromal_to_myeloid,compartment_author,10,PA4,8,ROI_8,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,5207,797,691,7970,0.157214554579674,0.132705972729019,1.18468333675306,0.244501481446018,0.133765370138018,0.0099009900990099,0.132649937264743,0.0099009900990099,0.132649937264743,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA5,9,ROI_9,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,4396,1144,361,11440,0.125174825174825,0.0821201091901729,1.52428956085466,0.608136989660565,0.0824798951048951,0.0099009900990099,0.0820576923076923,0.0099009900990099,0.082409965034965,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA5,10,ROI_10,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3920,1810,162,18100,0.045414364640884,0.0413265306122449,1.09891549007571,0.136080442941699,0.0413022099447514,0.0396039603960396,0.0413950276243094,0.0495049504950495,0.0414850828729282,0.0594059405940594
CAF_stromal_to_myeloid,compartment_author,10,PA5,11,ROI_11,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4346,2184,305,21840,0.0691391941391941,0.0701794753796595,0.985176845012911,-0.0215453748637393,0.070271978021978,0.693069306930693,0.0702532051282051,0.732673267326733,0.0696854395604396,0.603960396039604
CAF_stromal_to_myeloid,compartment_author,10,PA5,12,ROI_12,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4216,1455,385,14550,0.0723024054982818,0.0913187855787476,0.791758289820146,-0.336868027335755,0.0910192439862543,1,0.0916639175257732,1,0.0912,1
CAF_stromal_to_myeloid,compartment_author,10,PA5,13,ROI_13,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,5269,579,307,5790,0.0892918825561313,0.0582653254887075,1.53250465533634,0.615891456441634,0.0580829015544042,0.0099009900990099,0.0590172711571675,0.0099009900990099,0.057720207253886,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA5,14,ROI_14,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,5342,1663,149,16630,0.03541791942273,0.0278921752152752,1.26981560775989,0.344619015828777,0.0280162357185809,0.0099009900990099,0.0277943475646422,0.0099009900990099,0.0272748045700541,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA5,15,ROI_15,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,5124,1056,140,10560,0.0367424242424242,0.0273224043715847,1.34477272727273,0.427362371337992,0.0271496212121212,0.0099009900990099,0.0275748106060606,0.0099009900990099,0.0272282196969697,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA5,16,ROI_16,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4856,1156,155,11560,0.0493944636678201,0.0319192751235585,1.54748074561893,0.629921458956246,0.0320614186851211,0.0099009900990099,0.0317621107266436,0.0099009900990099,0.0320778546712803,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA6,17,ROI_17,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,4805,2250,516,22500,0.115244444444444,0.10738813735692,1.07315805340224,0.101862570099391,0.107516444444444,0.0099009900990099,0.107116,0.0198019801980198,0.107928888888889,0.0297029702970297
CAF_stromal_to_myeloid,compartment_author,10,PA6,18,ROI_18,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,6152,2405,803,24050,0.148565488565489,0.130526657997399,1.1382003557346,0.186754535485016,0.130698128898129,0.0099009900990099,0.129768814968815,0.0099009900990099,0.13241288981289,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA6,19,ROI_19,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,3309,850,122,8500,0.0782352941176471,0.0368691447567241,2.12197203471553,1.08540564322578,0.0369505882352941,0.0099009900990099,0.0367894117647059,0.0099009900990099,0.0367188235294118,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA6,20,ROI_20,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4310,1548,371,15480,0.0921188630490956,0.0860788863109049,1.07016792383181,0.0978371927677727,0.0857700258397933,0.0396039603960396,0.0861931524547804,0.128712871287129,0.0886996124031008,0.198019801980198
CAF_stromal_to_myeloid,compartment_author,10,PA7,21,ROI_21,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,3540,2207,177,22070,0.0505663797009515,0.05,1.01132759401903,0.0162503975495734,0.0500466696873584,0.386138613861386,0.0500543724512914,0.386138613861386,0.0495178975985501,0.267326732673267
CAF_stromal_to_myeloid,compartment_author,10,PA7,22,ROI_22,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,2777,1349,357,13490,0.138472942920682,0.12855599567879,1.07714107140262,0.107207209663778,0.128617494440326,0.0099009900990099,0.128941438102298,0.0099009900990099,0.128159377316531,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA7,23,ROI_23,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,3863,785,89,7850,0.0337579617834395,0.023039088791095,1.46524726257783,0.551144142049743,0.0230955414012739,0.0099009900990099,0.0231566878980892,0.0099009900990099,0.0232891719745223,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA7,24,ROI_24,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4755,258,388,2580,0.132170542635659,0.0815983175604627,1.61977043874371,0.695789362274354,0.0823875968992248,0.0099009900990099,0.0823139534883721,0.0099009900990099,0.0806550387596899,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA7,25,ROI_25,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4653,579,150,5790,0.0721934369602763,0.0322372662798195,2.23944041450777,1.16313828046565,0.0320656303972366,0.0099009900990099,0.0323851468048359,0.0099009900990099,0.0323765112262522,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA7,26,ROI_26,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4085,1371,188,13710,0.062290299051787,0.0460220318237454,1.35348867886463,0.436682820309311,0.0456790663749088,0.0099009900990099,0.0462793581327498,0.0099009900990099,0.0462822757111597,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA8,27,ROI_27,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3445,730,364,7300,0.130684931506849,0.105660377358491,1.23683953033268,0.306658334743727,0.105593150684932,0.0099009900990099,0.105690410958904,0.0099009900990099,0.105490410958904,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA8,28,ROI_28,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,2204,940,447,9400,0.154148936170213,0.202813067150635,0.760054262458946,-0.395825674507593,0.202809574468085,1,0.202731914893617,1,0.204224468085106,1
CAF_stromal_to_myeloid,compartment_author,10,PA8,29,ROI_29,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3103,529,806,5290,0.290359168241966,0.259748630357718,1.11784677302087,0.16072244672052,0.260313799621928,0.0099009900990099,0.261047258979206,0.0099009900990099,0.261638941398866,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA8,30,ROI_30,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,6250,1655,468,16550,0.0951057401812689,0.07488,1.27010870968575,0.344951983778951,0.0746930513595166,0.0099009900990099,0.0750235649546828,0.0099009900990099,0.0748658610271903,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA8,31,ROI_31,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,5897,1601,1074,16010,0.201748906933167,0.182126505002544,1.10774050668984,0.147619963014171,0.181399750156152,0.0099009900990099,0.182191755153029,0.0099009900990099,0.182167395377889,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA8,32,ROI_32,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,6505,1497,327,14970,0.0677354709418838,0.0502690238278248,1.34745944488365,0.430241852164637,0.050313961255845,0.0099009900990099,0.0503974615898464,0.0099009900990099,0.0505136940547762,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA8,33,ROI_33,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,6013,1253,433,12530,0.11245011971269,0.0720106436055214,1.56157637374689,0.643003130569757,0.0721380686352753,0.0099009900990099,0.0719162011173184,0.0099009900990099,0.0719816440542698,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA8,34,ROI_34,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4082,1342,809,13420,0.201713859910581,0.198187163155316,1.01779477893077,0.0254466957301594,0.198164679582712,0.168316831683168,0.198714605067064,0.217821782178218,0.197862146050671,0.158415841584158
CAF_stromal_to_myeloid,compartment_author,10,PA8,35,ROI_35,Liver,Metastasis/Liver,CAF/stromal-like,myeloid/macrophage-like,4844,1518,923,15180,0.192555994729908,0.190545004128819,1.01055388783497,0.0151462555517785,0.191268115942029,0.366336633663366,0.190427536231884,0.287128712871287,0.190911067193676,0.386138613861386
CAF_stromal_to_myeloid,compartment_author,10,PA9,36,ROI_36,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3463,804,967,8040,0.287313432835821,0.279237655212244,1.02892080445755,0.0411319429575162,0.279215174129353,0.188118811881188,0.280390547263682,0.198019801980198,0.278914179104478,0.178217821782178
CAF_stromal_to_myeloid,compartment_author,10,PA9,37,ROI_37,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3890,679,1962,6790,0.396907216494845,0.504370179948586,0.786936326281829,-0.345681187837911,0.505936671575847,1,0.50599852724595,1,0.503238586156112,1
CAF_stromal_to_myeloid,compartment_author,10,PA9,38,ROI_38,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,2514,757,31,7570,0.0182298546895641,0.0123309466984885,1.47838240934078,0.564019495938708,0.0123513870541612,0.0099009900990099,0.0121756935270806,0.0099009900990099,0.0122021136063408,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA9,39,ROI_39,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,2796,796,235,7960,0.085427135678392,0.0840486409155937,1.01640115470972,0.0234699195171271,0.0837663316582915,0.346534653465347,0.0836859296482412,0.336633663366337,0.0845050251256281,0.425742574257426
CAF_stromal_to_myeloid,compartment_author,10,PA9,40,ROI_40,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,357,116,34,1160,0.131896551724138,0.0952380952380952,1.38491379310345,0.469796175456478,0.0935,0.0099009900990099,0.0931465517241379,0.0099009900990099,0.0962241379310345,0.0198019801980198
CAF_stromal_to_myeloid,compartment_author,10,PA10,41,ROI_41,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,3685,1840,714,18400,0.153369565217391,0.193758480325645,0.791550207039338,-0.337247233281141,0.193595652173913,1,0.193414673913043,1,0.194111413043478,1
CAF_stromal_to_myeloid,compartment_author,10,PA10,42,ROI_42,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,2973,1478,690,14780,0.172801082543978,0.232088799192735,0.744547273048185,-0.425564643088676,0.230913396481732,1,0.232439106901218,1,0.23312449255751,1
CAF_stromal_to_myeloid,compartment_author,10,PA10,43,ROI_43,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,7048,312,1147,3120,0.275641025641026,0.162741203178207,1.69373840341582,0.760211068744438,0.162580128205128,0.0099009900990099,0.161467948717949,0.0099009900990099,0.161516025641026,0.0099009900990099
CAF_stromal_to_myeloid,compartment_author,10,PA10,44,ROI_44,Pancreas,Primary/Pancreas,CAF/stromal-like,myeloid/macrophage-like,4737,649,896,6490,0.257627118644068,0.189149250580536,1.3620308716707,0.445759403718171,0.18871186440678,0.0099009900990099,0.189246533127889,0.0099009900990099,0.187981510015408,0.0099009900990099
