output,path
gse199102_geomx_metadata_summary.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_metadata_summary.csv
gse199102_geomx_expression_summary.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_expression_summary.csv
gse199102_geomx_segment_annotation_summary.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_segment_annotation_summary.csv
gse199102_geomx_gene_coverage_by_module.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_gene_coverage_by_module.csv
gse199102_geomx_module_scores.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_module_scores.csv
gse199102_geomx_segment_comparison_results.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_segment_comparison_results.csv
gse199102_geomx_patient_level_deltas.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_patient_level_deltas.csv
gse199102_geomx_paired_segment_results.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_paired_segment_results.csv
gse199102_gse240078_direction_concordance.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_gse240078_direction_concordance.csv
gse199102_geomx_positive_negative_control_results.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/tables/gse199102_geomx_positive_negative_control_results.csv
Source_Data_GSE199102_GeoMx.csv,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/source_data/Source_Data_GSE199102_GeoMx.csv
gse199102_geomx_candidate_panels.pdf,E:/PDAC_TLS/pdac_spatial_ecology/results/orthogonal_validation_strong_search/figures/gse199102_geomx_candidate_panels.pdf
