module,n_patients,median_stromal_minus_tumor,patient_support_fraction_stromal_gt_tumor,median_immune_minus_tumor,patient_support_fraction_immune_gt_tumor,median_fibroblast_minus_nonfibroblast,patient_support_fraction_fibroblast_gt_nonfibroblast,median_tme_minus_tumor,patient_support_fraction_tme_gt_tumor,paired_n_roi,paired_median_delta,paired_support_fraction_positive,paired_fdr,gse199102_median_tme_minus_tumor,gse199102_tme_patient_support,gse199102_median_stromal_minus_tumor,gse199102_median_immune_minus_tumor,gse240078_delta_stroma_minus_tumor,gse240078_fdr,gse199102_direction,gse240078_direction,direction_concordant
b_plasma,20,0.12224771037244,0.7,0.145885241143696,0.65,0.0634892902565799,0.6,0.118495707807683,0.7,183,0.119362149451606,0.628415300546448,1.79817311931396e-05,0.118495707807683,0.7,0.12224771037244,0.145885241143696,,,tme_high,,
caf_mycaf,20,1.8742946987419,1,0.322361927197556,1,1.5825525512314,1,0.807553634903634,1,183,1.4488501281358,0.989071038251366,0,0.807553634903634,1,1.8742946987419,0.322361927197556,1.07631149363634,0,tme_high,stromal_high,TRUE
ifn_apc,20,-0.0153859176807112,0.4,0.675901150775744,0.95,-0.168048456496148,0.3,0.22624691983389,0.8,183,0.0327845728636931,0.540983606557377,0.47681608489531,0.22624691983389,0.8,-0.0153859176807112,0.675901150775744,0.16605683041727,0.0144058593185912,tme_high,stromal_high,TRUE
immune_core,20,0.177502564649256,0.95,0.603637688072189,1,0.0563931698423309,0.6,0.327919674854149,1,183,0.177917234075846,0.830601092896175,0,0.327919674854149,1,0.177502564649256,0.603637688072189,0.709136141549444,0,tme_high,stromal_high,TRUE
myeloid_macrophage,20,0.179713362613966,0.9,1.1589377800064,1,-0.120061013515814,0.25,0.477962841354362,1,183,0.158703234130704,0.792349726775956,0,0.477962841354362,1,0.179713362613966,1.1589377800064,0.926253154270486,0,tme_high,stromal_high,TRUE
pancaf_matrix,20,1.72813537133082,1,0.497763195375701,1,1.35906492359951,1,0.823572675762406,1,183,1.4078998418437,0.989071038251366,0,0.823572675762406,1,1.72813537133082,0.497763195375701,1.06568539820791,0,tme_high,stromal_high,TRUE
spp1_tam,20,-0.362180136806893,0,0.102012344212288,0.5,-0.362622984676892,0,-0.277501299004479,0.1,183,-0.38400023312055,0.0491803278688525,2.00226217730475e-29,-0.277501299004479,0.1,-0.362180136806893,0.102012344212288,-0.312314634424025,5.490414314845e-11,tumor_high_report_separately,tumor_high,
t_cell,20,0.371002462681757,0.95,1.03793960887663,1,0.136152705872838,0.7,0.577695667492223,1,183,0.34636948467286,0.901639344262295,0,0.577695667492223,1,0.371002462681757,1.03793960887663,0.966899762524054,0,tme_high,stromal_high,TRUE
tgfb_emt,20,0.706790455536819,0.9,0.285615636358057,0.7,0.638226656364012,0.9,0.444328041319515,0.85,183,0.617135775669545,0.896174863387978,0,0.444328041319515,0.85,0.706790455536819,0.285615636358057,0.378652924072247,8.91231533017844e-13,tme_high,stromal_high,TRUE
tumor_aggressive,20,-0.978219659549984,0,-0.996936173117919,0,-0.358159515174827,0,-0.975263354041108,0,183,-0.902738308351203,0.00546448087431694,3.11120791420289e-31,-0.975263354041108,0,-0.978219659549984,-0.996936173117919,-0.744827209371476,1.13017936134476e-26,tumor_high,tumor_high,TRUE
tumor_epithelial,20,-1.05164005147534,0,-1.11281075707563,0,-0.453446781695349,0,-1.09349980533317,0,183,-1.10896748456119,0.00546448087431694,1.41855388974425e-31,-1.09349980533317,0,-1.05164005147534,-1.11281075707563,-1.19900724631849,5.42951554243951e-35,tumor_high,tumor_high,TRUE
