dataset,platform,module,requested_genes,available_genes,n_requested,n_available,coverage,usable
GSE199102,GeoMx WTA,caf_mycaf,ACTA2;TAGLN;MYL9;COL1A1;COL1A2;COL3A1;DCN;LUM,ACTA2;MYL9;COL1A1;COL1A2;DCN;LUM,8,6,0.75,TRUE
GSE199102,GeoMx WTA,pancaf_matrix,FAP;COL1A1;COL3A1;PDPN;THY1;DCN;LUM;FN1;VIM;POSTN;MMP2,FAP;COL1A1;PDPN;THY1;DCN;LUM;VIM;POSTN;MMP2,11,9,0.818181818181818,TRUE
GSE199102,GeoMx WTA,myeloid_macrophage,LST1;TYROBP;AIF1;LYZ;CD68;CD163;CSF1R;FCGR3A;ITGAM;MSR1;MRC1;C1QA;C1QB;C1QC,LST1;TYROBP;AIF1;LYZ;CD68;CD163;CSF1R;FCGR3A;ITGAM;MSR1;C1QA;C1QB;C1QC,14,13,0.928571428571429,TRUE
GSE199102,GeoMx WTA,spp1_tam,SPP1;TREM2;APOE;LGALS3;GPNMB;MARCO;CD9;CTSB;CCL18,APOE;LGALS3;CD9;CTSB,9,4,0.444444444444444,TRUE
GSE199102,GeoMx WTA,tgfb_emt,TGFB1;TGFB2;TGFBI;TGFBR1;TGFBR2;SERPINE1;CTGF;INHBA;SMAD3;VIM;ZEB1;SNAI1;SNAI2;MMP2;MMP9;ITGA5;FN1,TGFB1;TGFB2;TGFBR2;INHBA;SMAD3;VIM;ZEB1;SNAI2;MMP2;MMP9;ITGA5,17,11,0.647058823529412,TRUE
GSE199102,GeoMx WTA,ifn_apc,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;B2M;STAT1;IRF1;IFITM1;IFIT1;IFIT3;CXCL9;CXCL10;TAP1,HLA-DRB1;HLA-DPA1;HLA-DPB1;B2M;STAT1;IFITM1;IFIT3;CXCL9;CXCL10;TAP1,14,10,0.714285714285714,TRUE
GSE199102,GeoMx WTA,immune_core,CXCL13;CCL19;CCL21;CXCL9;CXCL10;CD74;HLA-DRA;HLA-DPA1;MS4A1;CD3D;CD3E,CXCL13;CCL19;CCL21;CXCL9;CXCL10;HLA-DPA1;CD3D;CD3E,11,8,0.727272727272727,TRUE
GSE199102,GeoMx WTA,t_cell,CD3D;CD3E;CD4;CD8A;CD8B;TRAC;CD247;PDCD1;CTLA4;LAG3;TIGIT,CD3D;CD3E;CD4;CTLA4,11,4,0.363636363636364,TRUE
GSE199102,GeoMx WTA,b_plasma,MS4A1;CD79A;CD79B;MZB1;JCHAIN;IGKC;XBP1;SDC1,CD79A;CD79B;MZB1;JCHAIN;SDC1,8,5,0.625,TRUE
GSE199102,GeoMx WTA,tumor_epithelial,EPCAM;KRT8;KRT18;KRT19;KRT7;MUC1;MSLN,KRT8;KRT18;MUC1;MSLN,7,4,0.571428571428571,TRUE
GSE199102,GeoMx WTA,tumor_aggressive,KRT17;KRT5;KRT6A;S100A2;SERPINB3;LAMC2;ITGA3;MMP7;TACSTD2,KRT17;KRT6A;S100A2;LAMC2;ITGA3;MMP7;TACSTD2,9,7,0.777777777777778,TRUE
