module,comparison,n_roi,median_delta,support_fraction_positive,wilcox_p,fdr
caf_mycaf,paired_CAF_minus_Epithelial,183,1.4488501281358,0.989071038251366,0,0
caf_mycaf,paired_Immune_minus_Epithelial,191,0.318244073369073,0.963350785340314,0,0
pancaf_matrix,paired_CAF_minus_Epithelial,183,1.4078998418437,0.989071038251366,0,0
pancaf_matrix,paired_Immune_minus_Epithelial,191,0.480534302970434,0.963350785340314,0,0
myeloid_macrophage,paired_CAF_minus_Epithelial,183,0.158703234130704,0.792349726775956,0,0
myeloid_macrophage,paired_Immune_minus_Epithelial,191,1.08955410573655,0.979057591623037,0,0
spp1_tam,paired_CAF_minus_Epithelial,183,-0.38400023312055,0.0491803278688525,1.63821450870389e-29,2.00226217730475e-29
spp1_tam,paired_Immune_minus_Epithelial,191,-0.0734283929053564,0.43455497382199,0.933846286226499,0.933846286226499
tgfb_emt,paired_CAF_minus_Epithelial,183,0.617135775669545,0.896174863387978,0,0
tgfb_emt,paired_Immune_minus_Epithelial,191,0.219283562533725,0.722513089005236,4.13022949175002e-10,5.04805826769446e-10
ifn_apc,paired_CAF_minus_Epithelial,183,0.0327845728636931,0.540983606557377,0.47681608489531,0.47681608489531
ifn_apc,paired_Immune_minus_Epithelial,191,0.592789300812988,0.858638743455497,0,0
immune_core,paired_CAF_minus_Epithelial,183,0.177917234075846,0.830601092896175,0,0
immune_core,paired_Immune_minus_Epithelial,191,0.590578446897506,0.921465968586387,0,0
t_cell,paired_CAF_minus_Epithelial,183,0.34636948467286,0.901639344262295,0,0
t_cell,paired_Immune_minus_Epithelial,191,1.07797718714099,0.952879581151833,0,0
b_plasma,paired_CAF_minus_Epithelial,183,0.119362149451606,0.628415300546448,1.63470283573997e-05,1.79817311931396e-05
b_plasma,paired_Immune_minus_Epithelial,191,0.0920734939567848,0.575916230366492,8.17472675678221e-05,8.99219943246044e-05
tumor_epithelial,paired_CAF_minus_Epithelial,183,-1.10896748456119,0.00546448087431694,9.02716111655435e-32,1.41855388974425e-31
tumor_epithelial,paired_Immune_minus_Epithelial,191,-1.16783966836744,0,4.32731780630534e-33,6.80007083847982e-33
tumor_aggressive,paired_CAF_minus_Epithelial,183,-0.902738308351203,0.00546448087431694,2.26269666487483e-31,3.11120791420289e-31
tumor_aggressive,paired_Immune_minus_Epithelial,191,-0.905941102046181,0.00523560209424084,1.04390085623357e-32,1.43536367732116e-32
