comparison,module,n,class_a,class_b,mean_a,mean_b,median_a,median_b,delta_a_minus_b,wilcox_p,fdr
CAF_vs_epithelial,caf_mycaf,377,stromal_fibroblast,tumor_epithelial,1.00011405714143,-0.660550354848695,0.889986782119443,-0.729987937175812,1.66066441199013,0,0
CAF_vs_epithelial,pancaf_matrix,377,stromal_fibroblast,tumor_epithelial,0.858714451385421,-0.674952610515451,0.763412744398385,-0.722578422437622,1.53366706190087,0,0
CAF_vs_epithelial,myeloid_macrophage,377,stromal_fibroblast,tumor_epithelial,-0.308259750048692,-0.488097153397675,-0.346197198611315,-0.490722798008663,0.179837403348983,3.64153152077051e-14,5.00710584105946e-14
CAF_vs_epithelial,spp1_tam,377,stromal_fibroblast,tumor_epithelial,-0.339051818010525,0.135840913352465,-0.419711275816699,0.0437236788475633,-0.474892731362991,1.75722663011977e-26,2.76135613304535e-26
CAF_vs_epithelial,tgfb_emt,377,stromal_fibroblast,tumor_epithelial,0.333127283293948,-0.27499598784358,0.344537791917536,-0.349961464611469,0.608123271137528,0,0
CAF_vs_epithelial,ifn_apc,377,stromal_fibroblast,tumor_epithelial,-0.208108281406263,-0.191454201203967,-0.327317118144649,-0.349475904746989,-0.0166540802022964,0.100464750315732,0.100464750315732
CAF_vs_epithelial,immune_core,377,stromal_fibroblast,tumor_epithelial,-0.115155221623227,-0.292348749128251,-0.120924344216525,-0.315938783088017,0.177193527505024,9.85145298670886e-12,1.20406647615331e-11
CAF_vs_epithelial,t_cell,377,stromal_fibroblast,tumor_epithelial,-0.179142590990977,-0.540633568355445,-0.128821626697077,-0.503793710233967,0.361490977364468,0,0
CAF_vs_epithelial,b_plasma,377,stromal_fibroblast,tumor_epithelial,-0.0229828389343822,-0.143329048951789,-0.0916087489768071,-0.17883563253623,0.120346210017407,0.000520395714090016,0.000572435285499018
CAF_vs_epithelial,tumor_epithelial,377,stromal_fibroblast,tumor_epithelial,-0.41815880830948,0.859485756244029,-0.54524885481255,0.643118831157886,-1.27764456455351,6.46468910241322e-51,1.42223160253091e-50
CAF_vs_epithelial,tumor_aggressive,377,stromal_fibroblast,tumor_epithelial,-0.313873685120319,0.638995780053916,-0.420061482571593,0.514939928443615,-0.952869465174235,7.28196774185884e-49,1.33502741934079e-48
immune_vs_epithelial,caf_mycaf,385,immune,tumor_epithelial,-0.301530738032203,-0.660550354848695,-0.395747887635103,-0.729987937175812,0.359019616816492,0,0
immune_vs_epithelial,pancaf_matrix,385,immune,tumor_epithelial,-0.151664623250447,-0.674952610515451,-0.244072632044288,-0.722578422437622,0.523287987265004,0,0
immune_vs_epithelial,myeloid_macrophage,385,immune,tumor_epithelial,0.781050296431925,-0.488097153397675,0.615835485620117,-0.490722798008663,1.2691474498296,0,0
immune_vs_epithelial,spp1_tam,385,immune,tumor_epithelial,0.189860782219036,0.135840913352465,-0.0617612188024335,0.0437236788475633,0.0540198688665706,0.214061526652521,0.214061526652521
immune_vs_epithelial,tgfb_emt,385,immune,tumor_epithelial,-0.0457477603285644,-0.27499598784358,-0.0860412492056404,-0.349961464611469,0.229248227515016,1.11168851901766e-11,1.3587304121327e-11
immune_vs_epithelial,ifn_apc,385,immune,tumor_epithelial,0.389944241923939,-0.191454201203967,0.274329870536512,-0.349475904746989,0.581398443127906,0,0
immune_vs_epithelial,immune_core,385,immune,tumor_epithelial,0.401215936958141,-0.292348749128251,0.22922015407104,-0.315938783088017,0.693564686086392,0,0
