title,geo_accession,tissue,treatment,tissue.type,dcc_id,sample_id,roi_id,patient_id,aoi_type,caf_mycaf,pancaf_matrix,myeloid_macrophage,spp1_tam,tgfb_emt,ifn_apc,immune_core,t_cell,b_plasma,tumor_aggressive,tumor_epithelial
"90.1,tumor [DSP-1001660005320-D-A02]",GSM7680965,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-A02.dcc,90.1,90.1,90,tumor,-0.602005590601781,-0.650064701445256,-0.419351116202935,0.434715552704959,-0.0845758338820759,-0.109064371492212,-0.527801473646778,-0.488371719603481,,1.07116531394476,0.965566910621618
"90.1,stroma [DSP-1001660005320-D-A03]",GSM7680966,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-A03.dcc,90.1,90.1,90,stroma,1.75682529957707,1.90207851794265,-0.279388695480833,0.0115198065202204,1.07820798419979,-0.150169427404462,-0.287247657976549,-0.076953375962254,,-0.110559337135266,-0.358752808729598
"90.2,tumor [DSP-1001660005320-D-A04]",GSM7680967,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-A04.dcc,90.2,90.2,90,tumor,-0.356591542265364,-0.459664748959066,-0.337130622844121,0.000886447638253446,-0.0415779624661865,-0.238838071795067,-0.468558991699509,-0.460390740050018,,0.979476240483225,1.10905118564731
"90.2,stroma [DSP-1001660005320-D-A05]",GSM7680968,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-A05.dcc,90.2,90.2,90,stroma,2.54104624309099,2.08863124236253,0.38685433773784,0.316093234568619,0.91639987166599,0.015984440710427,0.17871181503461,0.254840840903212,,-0.440664943038603,-0.73902103586455
"94.1,tumor [DSP-1001660005320-D-A06]",GSM7680969,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-A06.dcc,94.1,94.1,94,tumor,-0.653597561594985,-0.589871208242251,-0.465514852572061,0.68736706800456,0.0966905972654567,-0.550501571181501,-0.563202989220573,-0.521176065542724,,1.03008590420369,0.499594008569358
"94.1,stroma [DSP-1001660005320-D-A07]",GSM7680970,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-A07.dcc,94.1,94.1,94,stroma,1.56504242946647,1.0961508583985,0.202293885002534,0.284635177574019,0.567792605054532,-0.20552290237821,0.189833993238575,0.585517274827035,,-0.490418042823671,-0.856973929521646
"94.2,tumor [DSP-1001660005320-D-A08]",GSM7680971,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-A08.dcc,94.2,94.2,94,tumor,-0.544144110410531,-0.661613361936533,-0.4735959366226,0.725307307708598,0.0542329442474445,-0.666746662349494,-0.600171135690493,-0.719764868399863,,2.32240567789172,0.164891718716916
"94.2,stroma [DSP-1001660005320-D-A09]",GSM7680972,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-A09.dcc,94.2,94.2,94,stroma,1.7504319710022,1.60606575548463,0.83066294446699,0.383070509438176,0.697656750170965,-0.126899613332892,0.175926342341643,0.13357254492312,,-0.358779619112089,-0.759383987935455
"51.1,tumor [DSP-1001660005320-D-A10]",GSM7680973,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-A10.dcc,51.1,51.1,51,tumor,-0.580441885625559,-0.797682244589593,0.042022173748515,-0.130324023070105,-0.396708586087008,-0.495427454915247,-0.4738296426162,-0.398325662343518,,0.134212334273556,0.478615095664601
"51.1,stroma [DSP-1001660005320-D-A11]",GSM7680974,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-A11.dcc,51.1,51.1,51,stroma,0.192801592407774,0.236872494544921,0.0461772734884242,-0.426667095413281,0.077106188178443,0.307684148735008,0.0331727044440287,-0.0864605832410124,,-0.537489257948114,-0.776777878435022
"51.2,tumor [DSP-1001660005320-D-A12]",GSM7680975,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-A12.dcc,51.2,51.2,51,tumor,-0.466418384791466,-0.439559344746819,-0.378739055323181,0.0813583928085707,-0.564418525194345,-0.593251201118508,-0.694341222212133,-0.503236125203802,,0.172991471973281,1.00638788498725
"51.2,stroma [DSP-1001660005320-D-B01]",GSM7680976,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-B01.dcc,51.2,51.2,51,stroma,1.68840524334696,1.57401092970771,0.236565954606435,-0.504387689765441,0.0406119688035867,-0.0703624342579513,-0.137220497462775,0.249904289762561,,-0.531963696083602,-0.627960083496142
"65.1,tumor [DSP-1001660005320-D-B02]",GSM7680977,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-B02.dcc,65.1,65.1,65,tumor,-0.611207066863878,-0.655561789535934,-0.64332039915391,-0.284032832764015,-0.321896645559524,-0.172352976973811,-0.11238588124814,-0.657208156908879,,-0.22481625511519,0.221614304833546
