pair_id,slide,expected_direction,n_fov_analyzable,median_log2_oe,mean_log2_oe,support_fraction_log2oe_gt0,support_fraction_log2oe_gt025,median_null_p,overall_median_slide_log2_oe,overall_slide_support_fraction_gt0,overall_slide_support_fraction_gt025
caf_to_b_plasma_negative_control,slide3,negative_control,20,0.124451964910764,0.0819889189432018,0.65,0.25,0.333333333333333,0.101543500757924,1,0.25
caf_to_b_plasma_negative_control,slide4,negative_control,20,0.0786350366050845,-0.00752965358099228,0.6,0.3,0.411764705882353,0.101543500757924,1,0.25
caf_to_b_plasma_negative_control,slide6,negative_control,20,0.00625213976811735,-0.0256525455735807,0.55,0.2,0.5,0.101543500757924,1,0.25
caf_to_b_plasma_negative_control,slide5,negative_control,16,0.5050936990447,0.434552987030564,0.9375,0.6875,0.137254901960784,0.101543500757924,1,0.25
caf_to_myeloid,slide3,positive,20,0.563731521587536,0.630214805287852,0.9,0.85,0.0196078431372549,0.45764419484575,1,0.75
caf_to_myeloid,slide4,positive,21,0.171867314019762,0.396268605102974,0.666666666666667,0.380952380952381,0.0980392156862745,0.45764419484575,1,0.75
caf_to_myeloid,slide6,positive,20,0.351556868103964,0.455828977736682,0.95,0.6,0.0392156862745098,0.45764419484575,1,0.75
caf_to_myeloid,slide5,positive,16,0.876757687194353,0.963421136866665,0.9375,0.875,0.0196078431372549,0.45764419484575,1,0.75
caf_to_spp1_macrophage,slide3,positive,18,0.415290643226616,0.436679006636077,0.888888888888889,0.666666666666667,0.137254901960784,0.261712091061863,1,0.5
caf_to_spp1_macrophage,slide4,positive,21,0.171867314019762,0.396268605102974,0.666666666666667,0.380952380952381,0.0980392156862745,0.261712091061863,1,0.5
caf_to_spp1_macrophage,slide6,positive,20,0.351556868103964,0.455828977736682,0.95,0.6,0.0294117647058824,0.261712091061863,1,0.5
caf_to_spp1_macrophage,slide5,positive,10,0.127263873928267,0.286748660317197,0.6,0.4,0.411764705882353,0.261712091061863,1,0.5
