summary_level,slide,cell_state,feature_type,marker_family,marker,display_marker,available,n_cells,n_other,mean_value,median_value,pct_detected,other_mean_value,delta_mean_value,log2_fc_raw_vs_other
slide,slide1,CAF/matrix-like,gene,caf_matrix,ACTA2,ACTA2,TRUE,10179,113986,0.184262617961536,0,0.21347873072011,0.0367426207474907,0.147519997214046,1.77890280638694
slide,slide1,CAF/matrix-like,gene,caf_matrix,TAGLN,TAGLN,TRUE,10179,113986,0.422663178868782,0,0.427743393260635,0.0829191675173659,0.339744011351416,2.1903952883442
slide,slide1,CAF/matrix-like,gene,caf_matrix,COL1A1,COL1A1,TRUE,10179,113986,1.96965125089397,1.94591014905531,0.951763434522055,0.450097832928663,1.51955341796531,2.67763899177867
slide,slide1,CAF/matrix-like,gene,caf_matrix,COL1A2,COL1A2,TRUE,10179,113986,1.54385299015576,1.6094379124341,0.900186658807349,0.235513115716424,1.30833987443933,3.0861560949278
slide,slide1,CAF/matrix-like,gene,caf_matrix,COL3A1,COL3A1,TRUE,10179,113986,1.66918763569488,1.6094379124341,0.92936437764024,0.278593696660655,1.39059393903423,2.98039101424882
slide,slide1,CAF/matrix-like,gene,caf_matrix,DCN,DCN,TRUE,10179,113986,0.348030769992298,0,0.388053836329698,0.0635272433876796,0.284503526604618,2.12272523389833
slide,slide1,CAF/matrix-like,gene,caf_matrix,LUM,LUM,TRUE,10179,113986,0.345876970080595,0,0.360546222615188,0.0497826055612238,0.296094364519371,2.37185672237161
slide,slide1,CAF/matrix-like,gene,caf_matrix,FN1,FN1,TRUE,10179,113986,0.768423140510717,0.693147180559945,0.60487277728657,0.216847159223611,0.551575981287106,1.8086784105345
slide,slide1,CAF/matrix-like,gene,caf_matrix,POSTN,POSTN,FALSE,10179,113986,,,,,,
slide,slide1,CAF/matrix-like,gene,caf_matrix,MMP2,MMP2,TRUE,10179,113986,0.389835567360933,0,0.421259455742214,0.0829555610151728,0.30688000634576,2.00439516360635
slide,slide1,CAF/matrix-like,gene,caf_matrix,PDPN,PDPN,FALSE,10179,113986,,,,,,
slide,slide1,CAF/matrix-like,gene,tgfb_emt,TGFB1,TGFB1,TRUE,10179,113986,0.123594963247046,0,0.153060222025739,0.114650109497338,0.00894485374970769,0.0284925168119823
slide,slide1,CAF/matrix-like,gene,tgfb_emt,TGFB2,TGFB2,TRUE,10179,113986,0.0318306662705044,0,0.0429315256901464,0.0330337369459798,-0.00120307067547541,-0.0237595624902226
slide,slide1,CAF/matrix-like,gene,tgfb_emt,TGFBR1,TGFBR1,TRUE,10179,113986,0.0745012352387287,0,0.0971608212987523,0.0480671191556362,0.0264341160830925,0.409147839584284
