summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide1,CAF/matrix-like,Mean.PanCK,10179,496.82866686315,259,138,487,0,3230.30116856456,-1.32348789692063
slide,slide1,CAF/matrix-like,Mean.CD45,10179,129.760094311818,136,98,167,0,318.207946589932,-0.503835420069832
slide,slide1,CAF/matrix-like,Mean.CD3,10179,200.488260143433,206,139,263,0.0327144120247569,452.434544593196,-0.101443553061709
slide,slide1,CAF/matrix-like,Mean.DAPI,10179,1625.36536005502,1539,1068,2068,0.130268199233716,1780.6337006299,-0.0254993019960823
slide,slide1,CAF/matrix-like,Mean.MembraneStain,10179,2159.72236958444,1731,1064.5,2770,0.0290794773553394,4313.28809678382,-0.499836051997471
slide,slide1,TGF/EMT stromal-interface,Mean.PanCK,17680,5464.48223981901,5454,2751,7646,0.430429864253394,2598.05871249472,1.60295782147803
slide,slide1,TGF/EMT stromal-interface,Mean.CD45,17680,198.575113122172,193,145,252,0,320.057012724797,-0.0431982796471706
slide,slide1,TGF/EMT stromal-interface,Mean.CD3,17680,246.917590497738,255,188,313,0.138348416289593,462.473315490445,0.178063265744248
slide,slide1,TGF/EMT stromal-interface,Mean.DAPI,17680,1570.9036199095,1478.5,1029,2002,0.115497737556561,1800.61352303141,-0.086692325844524
slide,slide1,TGF/EMT stromal-interface,Mean.MembraneStain,17680,3701.46940045249,2946,1598,4976,0.147567873303167,4209.00870545147,0.0975368688141236
slide,slide1,tumor epithelial-like,Mean.PanCK,34686,7206.58914259355,6759,4743,9053.75,0.610793980280228,1377.96105231395,2.73831797454839
slide,slide1,tumor epithelial-like,Mean.CD45,34686,196.649685752177,195,142,251,0,343.891728785525,-0.0802809953385815
slide,slide1,tumor epithelial-like,Mean.CD3,34686,251.254310096292,259,183,323,0.183186299948106,501.759820740062,0.195502923029434
slide,slide1,tumor epithelial-like,Mean.DAPI,34686,1610.90757077784,1481,973,2099,0.15046416421611,1828.76392226109,-0.158313288423736
slide,slide1,tumor epithelial-like,Mean.MembraneStain,34686,4933.59782044629,3930.5,2045,6600,0.264746583636049,3827.84225348965,0.456602576695487
slide,slide1,immune-like,Mean.PanCK,46111,1686.85500206025,408,213,1623.5,0.0792001908438334,3785.63247239091,-0.735921642812731
