metric,numerator,denominator,fraction,summary_level,slide,n_total,n_caf,n_tgf,n_tumor,n_immune,interpretation
CAF and TGF/EMT overlap as fraction of CAF,2985,10179,0.29325081049219,slide,slide1,124165,10179,17680,34686,46111,TGF/EMT interface includes CAF/matrix-high component
CAF and TGF/EMT overlap as fraction of TGF/EMT,2985,17680,0.168834841628959,slide,slide1,124165,10179,17680,34686,46111,descriptive overlap metric
TGF/EMT and tumor epithelial overlap as fraction of TGF/EMT,14695,17680,0.831165158371041,slide,slide1,124165,10179,17680,34686,46111,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT and immune overlap as fraction of TGF/EMT,0,17680,0,slide,slide1,124165,10179,17680,34686,46111,minimal immune overlap
TGF/EMT cells with CAF/matrix-high state,2985,17680,0.168834841628959,slide,slide1,124165,10179,17680,34686,46111,descriptive overlap metric
TGF/EMT cells with tumor epithelial-like state,14695,17680,0.831165158371041,slide,slide1,124165,10179,17680,34686,46111,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT composition: CAF/matrix-like only,2985,17680,0.168834841628959,slide,slide1,124165,10179,17680,34686,46111,descriptive overlap metric
TGF/EMT composition: tumor epithelial-like only,14695,17680,0.831165158371041,slide,slide1,124165,10179,17680,34686,46111,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT composition: CAF and tumor overlap,0,17680,0,slide,slide1,124165,10179,17680,34686,46111,descriptive overlap metric
TGF/EMT composition: immune-like,0,17680,0,slide,slide1,124165,10179,17680,34686,46111,minimal immune overlap
TGF/EMT composition: neither CAF/tumor/immune,0,17680,0,slide,slide1,124165,10179,17680,34686,46111,minimal immune overlap
CAF and TGF/EMT overlap as fraction of CAF,5032,10044,0.500995619275189,slide,slide2,118096,10044,12666,37450,45778,TGF/EMT interface includes CAF/matrix-high component
CAF and TGF/EMT overlap as fraction of TGF/EMT,5032,12666,0.397284067582504,slide,slide2,118096,10044,12666,37450,45778,TGF/EMT interface includes CAF/matrix-high component
TGF/EMT and tumor epithelial overlap as fraction of TGF/EMT,7634,12666,0.602715932417496,slide,slide2,118096,10044,12666,37450,45778,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT and immune overlap as fraction of TGF/EMT,0,12666,0,slide,slide2,118096,10044,12666,37450,45778,minimal immune overlap
TGF/EMT cells with CAF/matrix-high state,5032,12666,0.397284067582504,slide,slide2,118096,10044,12666,37450,45778,TGF/EMT interface includes CAF/matrix-high component
TGF/EMT cells with tumor epithelial-like state,7634,12666,0.602715932417496,slide,slide2,118096,10044,12666,37450,45778,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT composition: CAF/matrix-like only,5032,12666,0.397284067582504,slide,slide2,118096,10044,12666,37450,45778,TGF/EMT interface includes CAF/matrix-high component
TGF/EMT composition: tumor epithelial-like only,7634,12666,0.602715932417496,slide,slide2,118096,10044,12666,37450,45778,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT composition: CAF and tumor overlap,0,12666,0,slide,slide2,118096,10044,12666,37450,45778,descriptive overlap metric
TGF/EMT composition: immune-like,0,12666,0,slide,slide2,118096,10044,12666,37450,45778,minimal immune overlap
TGF/EMT composition: neither CAF/tumor/immune,0,12666,0,slide,slide2,118096,10044,12666,37450,45778,minimal immune overlap
CAF and TGF/EMT overlap as fraction of CAF,3794,9666,0.392509828264018,slide,slide3,67100,9666,7736,17842,17902,TGF/EMT interface includes CAF/matrix-high component
CAF and TGF/EMT overlap as fraction of TGF/EMT,3794,7736,0.490434332988625,slide,slide3,67100,9666,7736,17842,17902,TGF/EMT interface includes CAF/matrix-high component
TGF/EMT and tumor epithelial overlap as fraction of TGF/EMT,3942,7736,0.509565667011375,slide,slide3,67100,9666,7736,17842,17902,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT and immune overlap as fraction of TGF/EMT,156,7736,0.0201654601861427,slide,slide3,67100,9666,7736,17842,17902,minimal immune overlap
TGF/EMT cells with CAF/matrix-high state,3794,7736,0.490434332988625,slide,slide3,67100,9666,7736,17842,17902,TGF/EMT interface includes CAF/matrix-high component
TGF/EMT cells with tumor epithelial-like state,3942,7736,0.509565667011375,slide,slide3,67100,9666,7736,17842,17902,TGF/EMT interface includes epithelial-proximal component; avoid tumor-intrinsic EMT claim
TGF/EMT composition: CAF/matrix-like only,3794,7736,0.490434332988625,slide,slide3,67100,9666,7736,17842,17902,TGF/EMT interface includes CAF/matrix-high component
