n_fov,median_log2_oe,mean_log2_oe,support_fraction_gt0,support_fraction_gt025,median_within_fov_null_p,median_within_slide_null_p,median_abundance_random_target_p,n_source_median,n_target_median,slide,normalization,n_caf_cells,n_tgfb_cells
19,0.582240660204748,0.695746849724074,1,0.947368421052632,0.0476190476190476,0.0476190476190476,0.0476190476190476,523,546,slide1,raw_log_z,10458,9826
23,0.581850120872696,0.304491194662039,0.826086956521739,0.826086956521739,0.0476190476190476,0.0476190476190476,0.0476190476190476,384,188,slide1,libnorm_log_z,11534,4756
19,0.702412959066094,0.795788304893795,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,516,575,slide1,rank,10559,9904
21,0.35852274222925,0.427269912606989,0.80952380952381,0.714285714285714,0.0476190476190476,0.0476190476190476,0.0476190476190476,113,321,slide2,raw_log_z,9637,7281
21,0.383337603025381,0.241495565101983,0.857142857142857,0.80952380952381,0.0476190476190476,0.0476190476190476,0.0476190476190476,91,114,slide2,libnorm_log_z,9801,4412
21,0.466810699407238,0.657147675502281,0.904761904761905,0.857142857142857,0.0476190476190476,0.0476190476190476,0.0476190476190476,104,228,slide2,rank,9621,7241
19,0.532975205643995,0.659598582972543,1,0.842105263157895,0.0476190476190476,0.0476190476190476,0.0476190476190476,262,196,slide3,raw_log_z,6001,3695
19,0.749679001347131,0.809933095024292,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,247,94,slide3,libnorm_log_z,6331,1944
19,0.599123547136333,0.736178294305604,1,0.894736842105263,0.0476190476190476,0.0476190476190476,0.0476190476190476,268,183,slide3,rank,5962,3515
20,0.610273285241779,0.776483270544683,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,433.5,164.5,slide4,raw_log_z,7891,4308
21,0.902689942759187,0.74570390469911,0.904761904761905,0.857142857142857,0.0476190476190476,0.0476190476190476,0.0476190476190476,394,124,slide4,libnorm_log_z,8207,2744
19,0.724196269033237,0.803805869313408,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,438,162,slide4,rank,7852,4126
19,1.08677064436,1.14427219009307,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,236,173,slide6,raw_log_z,8242,4517
20,1.13959144654982,0.998874427860522,0.85,0.85,0.0476190476190476,0.0476190476190476,0.0476190476190476,97,28,slide6,libnorm_log_z,8425,2214
19,1.23508956318613,1.28975413138093,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,197,178,slide6,rank,8221,4414
16,0.987415796716112,0.949139353871418,0.9375,0.9375,0.0476190476190476,0.0476190476190476,0.0476190476190476,241,151.5,slide5,raw_log_z,4253,2580
16,1.68725854118947,1.56541130717674,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,279.5,76,slide5,libnorm_log_z,4656,1461
16,1.20619636568212,1.12866773711604,1,0.9375,0.0476190476190476,0.0476190476190476,0.0476190476190476,237,139.5,slide5,rank,4199,2402
25,0.745981133479403,0.812898986374756,1,0.84,0.0476190476190476,0.0476190476190476,0.0476190476190476,269,158,slide5b2,raw_log_z,6493,4137
25,1.21494600612205,1.16495610444618,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,229,70,slide5b2,libnorm_log_z,6510,1853
25,0.828740642834408,0.880508559269415,1,0.96,0.0476190476190476,0.0476190476190476,0.0476190476190476,266,150,slide5b2,rank,6481,4115
15,0.847114632355959,0.913089229933679,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,232,163,slide5b3,raw_log_z,3479,2476
15,0.730245849648537,0.767299359326622,0.933333333333333,0.933333333333333,0.0476190476190476,0.0476190476190476,0.0476190476190476,241,110,slide5b3,libnorm_log_z,3389,1481
15,1.01519026758157,1.06540994111192,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,239,143,slide5b3,rank,3475,2443
