summary_level,slide,fov,target_type,n_cells,n_tgf_query,n_target,median_actual_distance,median_random_query_distance,median_random_target_distance,ratio_actual_to_random_query,ratio_actual_to_random_target,n_fov
fov,slide1,1,CAF/matrix-like,6844,85,9,640.07812023221,797.88971669022,824.211744638476,0.802213773210866,0.776594272522734,
fov,slide1,1,PanCK-high tumor epithelial-like,6844,85,628,41.146081222882,158.202402004521,112.605506082074,0.260085060034083,0.365400260204791,
fov,slide1,2,CAF/matrix-like,8483,74,15,718.627826991909,859.273960894445,644.3246774914,0.836319799850407,1.11531942217361,
fov,slide1,2,PanCK-high tumor epithelial-like,8483,74,766,0,121.445328935633,111.644198907811,0,0,
fov,slide1,3,CAF/matrix-like,8018,60,15,838.408565277488,817.764487031409,558.158071058225,1.02524452770139,1.50209879378422,
fov,slide1,3,PanCK-high tumor epithelial-like,8018,60,727,0,114.550084403416,104.966602982787,0,0,
fov,slide1,4,CAF/matrix-like,6419,66,9,715.963310032332,1006.98324458199,921.344782568459,0.710998235456774,0.777085108178961,
fov,slide1,4,PanCK-high tumor epithelial-like,6419,66,846,0,134.048160103214,99.0804790355803,0,0,
fov,slide1,5,CAF/matrix-like,5936,415,1054,56.0892146495206,72.1110255092798,73.24616030892,0.777817459305202,0.76576320742222,
fov,slide1,5,PanCK-high tumor epithelial-like,5936,415,698,0,149.214610544678,101.671038157383,0,0,
fov,slide1,6,CAF/matrix-like,4452,556,1385,0,56.2580519046648,62.20529472393,0,0,
fov,slide1,6,PanCK-high tumor epithelial-like,4452,556,764,72.8509840373595,130.707667853665,87.1287324327576,0.557358150701001,0.836130424525375,
fov,slide1,7,CAF/matrix-like,7193,141,633,78.1024967590665,111.319360400606,99.0454441153151,0.701607487484642,0.788552138431876,
fov,slide1,7,PanCK-high tumor epithelial-like,7193,141,745,0,136.003676420897,95.0157881617576,0,0,
fov,slide1,8,CAF/matrix-like,3910,644,1361,0,54.2616979013458,60.1373426642556,0,0,
fov,slide1,8,PanCK-high tumor epithelial-like,3910,644,993,78.9239019592892,106.854480955807,67.1974692635735,0.738611064817494,1.17450705843877,
fov,slide1,9,CAF/matrix-like,6432,183,382,164.560019445794,124.01612798342,121.004132160848,1.32692434541896,1.35995371816764,
fov,slide1,9,PanCK-high tumor epithelial-like,6432,183,926,0,142.08800090085,92.0489000477464,0,0,
fov,slide1,10,CAF/matrix-like,4545,482,843,0,85.799615407918,82.2131367364676,0,0,
fov,slide1,10,PanCK-high tumor epithelial-like,4545,482,788,67.0745849367113,142.154566662932,87.5754336150749,0.471842632363364,0.76590639826607,
fov,slide1,11,CAF/matrix-like,7079,179,261,190.213038459513,177.124250174842,148.313856399192,1.07389608295731,1.28250349008219,
fov,slide1,11,PanCK-high tumor epithelial-like,7079,179,827,0,153.003267938956,115.20850663037,0,0,
fov,slide1,12,CAF/matrix-like,7830,346,529,123.381510870121,213.402741734115,95.6705723035521,0.578162725874657,1.28964955366469,
fov,slide1,12,PanCK-high tumor epithelial-like,7830,346,1031,0,147.2005986601,92.5472221331405,0,0,
fov,slide1,13,CAF/matrix-like,3470,1000,366,113.485394212506,284.914763723966,101.872461726793,0.398313491126962,1.11399481556515,
fov,slide1,13,PanCK-high tumor epithelial-like,3470,1000,1143,0,62.2896460095898,63.5373861805423,0,0,
fov,slide1,14,CAF/matrix-like,4827,1000,420,117.108907293069,171.211857059807,100.184811290283,0.683999982852592,1.16892876060572,
fov,slide1,14,PanCK-high tumor epithelial-like,4827,1000,1082,0,79.2842895424218,74.7328333078193,0,0,
fov,slide1,15,CAF/matrix-like,4956,1000,196,200.002499984277,210.420970277381,140.479482209007,0.950487490484576,1.42371324864874,
fov,slide1,15,PanCK-high tumor epithelial-like,4956,1000,1282,42.5146931724534,73.460540886836,62.2776031569601,0.578741902240363,0.682664248739669,
fov,slide1,16,CAF/matrix-like,4936,1000,329,261.935606851415,269.43920336486,107.28930861554,0.972151058866946,2.44139523528885,
fov,slide1,16,PanCK-high tumor epithelial-like,4936,1000,1385,50.5705131719275,63.1030186226967,60.4524593881851,0.801396102368682,0.836533594889789,
fov,slide1,17,CAF/matrix-like,3162,907,355,124.903963107661,306.471858414439,105.990565617889,0.407554428500756,1.17844416037893,
fov,slide1,17,PanCK-high tumor epithelial-like,3162,907,1003,46.0977222864644,60.9590026165127,66.2193325245732,0.756208604272298,0.696136921485249,
fov,slide1,18,CAF/matrix-like,4087,1000,427,116.40859488104,169.206944024299,100.871201964433,0.687965825234236,1.15403199936178,
