n_fov,median_log2_oe,mean_log2_oe,support_fraction_gt0,support_fraction_gt025,median_within_fov_null_p,median_within_slide_null_p,median_abundance_random_target_p,n_source_median,n_target_median,slide,threshold,n_caf_cells,n_tgfb_cells
19,0.720755579619049,0.560313051332714,0.894736842105263,0.842105263157895,0.0476190476190476,0.0476190476190476,0.0476190476190476,286,271,slide1,top5,5551,4901
19,0.582240660204748,0.695746849724074,1,0.947368421052632,0.0476190476190476,0.0476190476190476,0.0476190476190476,523,546,slide1,top10,10458,9826
22,0.534247103088355,0.502145933397456,0.909090909090909,0.909090909090909,0.0476190476190476,0.0476190476190476,0.0476190476190476,625.5,522.5,slide1,top15,14798,14644
19,0.676551333401148,0.618982869317708,0.947368421052632,0.894736842105263,0.0476190476190476,0.0476190476190476,0.0476190476190476,437,295,slide1,z1,8465,5318
16,0.758858340137191,0.74866171921299,0.9375,0.875,0.0476190476190476,0.0476190476190476,0.0714285714285714,271,134.5,slide1,z15,4952,1983
12,0.558823918039967,0.476967481511526,0.75,0.666666666666667,0.19047619047619,0.19047619047619,0.238095238095238,168,55.5,slide1,z2,2801,679
20,0.479665583618648,0.302722783669108,0.75,0.75,0.0952380952380952,0.0952380952380952,0.119047619047619,37.5,134.5,slide2,top5,5028,3320
21,0.35852274222925,0.427269912606989,0.80952380952381,0.714285714285714,0.0476190476190476,0.0476190476190476,0.0476190476190476,113,321,slide2,top10,9637,7281
21,0.27800840742333,0.374631655721239,0.952380952380952,0.523809523809524,0.0476190476190476,0.0476190476190476,0.0476190476190476,225,516,slide2,top15,13826,11135
21,0.488880490081494,0.409333790393139,0.80952380952381,0.714285714285714,0.0952380952380952,0.0476190476190476,0.0476190476190476,65,61,slide2,z1,7828,1979
19,0.260019267871658,0.280636199639987,0.68421052631579,0.526315789473684,0.380952380952381,0.238095238095238,0.333333333333333,41,17,slide2,z15,5197,497
8,0.284025085095982,0.306839614908684,0.625,0.5,0.404761904761905,1,0.238095238095238,410.5,10.5,slide2,z2,3333,126
19,0.556705865161515,0.625176995323677,0.842105263157895,0.736842105263158,0.0952380952380952,0.0952380952380952,0.0476190476190476,123,87,slide3,top5,3065,1693
19,0.532975205643995,0.659598582972543,1,0.842105263157895,0.0476190476190476,0.0476190476190476,0.0476190476190476,262,196,slide3,top10,6001,3695
20,0.479099376842335,0.558242132999793,1,0.85,0.0476190476190476,0.0476190476190476,0.0476190476190476,378.5,301.5,slide3,top15,8766,5963
19,0.674817479449738,0.726250022523989,0.947368421052632,0.736842105263158,0.0476190476190476,0.0476190476190476,0.0476190476190476,275,60,slide3,z1,6227,1177
14,0.572252422940646,0.482127922348461,0.714285714285714,0.714285714285714,0.142857142857143,0.166666666666667,0.0952380952380952,149.5,13.5,slide3,z15,3282,260
4,0.0664142891349144,-0.341333108628482,0.5,0.5,0.642857142857143,1,0.571428571428571,184,8.5,slide3,z2,1501,61
17,0.841963025528776,0.881475567062507,0.941176470588235,0.882352941176471,0.0476190476190476,0.0476190476190476,0.0476190476190476,243,78,slide4,top5,4095,1979
20,0.610273285241779,0.776483270544683,1,1,0.0476190476190476,0.0476190476190476,0.0476190476190476,433.5,164.5,slide4,top10,7891,4308
20,0.514044175285247,0.587175551782653,1,0.95,0.0476190476190476,0.0476190476190476,0.0476190476190476,581.5,291,slide4,top15,11488,6880
19,0.679399658056541,0.677760403959824,0.947368421052632,0.842105263157895,0.0476190476190476,0.0476190476190476,0.0476190476190476,451,62,slide4,z1,7888,1611
