anchor_type,target_program,n_samples,median_delta,median_observed_rho,support_n,support_fraction,median_empirical_p
CAF-myeloid combined,IFN/MHC,205,-0.28511200133081277,-0.2851856943514236,184,0.8975609756097561,0.000999000999000999
CAF-myeloid combined,SPP1/TAM,205,-0.3773326094632958,-0.3867637523180325,203,0.9902439024390244,0.000999000999000999
CAF-myeloid combined,TGF-beta/EMT,205,-0.4782412947673696,-0.487608964839306,203,0.9902439024390244,0.000999000999000999
CAF-myeloid combined,immune-core,205,-0.2609357909870245,-0.26402205463937994,177,0.8634146341463415,0.000999000999000999
CAF-myeloid combined,tumor epithelial,205,0.018423431374407252,0.007417347457481444,97,0.47317073170731705,0.7072927072927073
CAF-myeloid combined,tumor-aggressive,205,-0.27685631472126704,-0.2881690104680047,175,0.8536585365853658,0.000999000999000999
CAF-only,IFN/MHC,205,-0.10364661079138947,-0.111312553270707,145,0.7073170731707317,0.003996003996003996
CAF-only,SPP1/TAM,205,-0.11332266225852501,-0.12763968924052907,161,0.7853658536585366,0.001998001998001998
CAF-only,TGF-beta/EMT,205,-0.4272579512353317,-0.4296676668651986,198,0.9658536585365853,0.000999000999000999
CAF-only,immune-core,205,-0.10304926898857487,-0.11672160497720005,140,0.6829268292682927,0.002997002997002997
CAF-only,tumor epithelial,205,0.0958197862383195,0.08824102996965134,83,0.40487804878048783,0.985014985014985
CAF-only,tumor-aggressive,205,-0.2021270090762728,-0.21241473312400608,158,0.7707317073170732,0.000999000999000999
SPP1/TAM,IFN/MHC,205,-0.2158787185864988,-0.22733057714625274,182,0.8878048780487805,0.000999000999000999
SPP1/TAM,SPP1/TAM,205,-0.5310001782125792,-0.5436872517653504,205,1.0,0.000999000999000999
SPP1/TAM,TGF-beta/EMT,205,-0.2441926064658674,-0.2502896863512376,187,0.9121951219512195,0.000999000999000999
SPP1/TAM,immune-core,205,-0.1557563978192484,-0.16408982040191744,169,0.824390243902439,0.000999000999000999
SPP1/TAM,tumor epithelial,205,-0.09206223297601704,-0.09337452209967582,141,0.6878048780487804,0.00999000999000999
SPP1/TAM,tumor-aggressive,205,-0.23181311888374007,-0.2381100142594216,178,0.8682926829268293,0.000999000999000999
immune-high,IFN/MHC,205,-0.382756670144182,-0.3907388130602678,205,1.0,0.000999000999000999
immune-high,SPP1/TAM,205,-0.09145472882898337,-0.09929954160577312,146,0.7121951219512195,0.007992007992007992
immune-high,TGF-beta/EMT,205,-0.021287567852725276,-0.030155946324959573,109,0.5317073170731708,0.2787212787212787
immune-high,immune-core,205,-0.539262009023427,-0.5427376973078984,205,1.0,0.000999000999000999
immune-high,tumor epithelial,205,0.12825027579146997,0.13656641191128152,55,0.2682926829268293,0.999000999000999
immune-high,tumor-aggressive,205,0.09152148799568433,0.08199555614431203,74,0.36097560975609755,0.987012987012987
myeloid-only,IFN/MHC,205,-0.32752097108139444,-0.3348274877192822,197,0.9609756097560975,0.000999000999000999
myeloid-only,SPP1/TAM,205,-0.4750268899290171,-0.4850799986458657,205,1.0,0.000999000999000999
myeloid-only,TGF-beta/EMT,205,-0.2745113514842358,-0.2878670757573704,181,0.8829268292682927,0.000999000999000999
myeloid-only,immune-core,205,-0.28427021144652975,-0.29076343472164917,193,0.9414634146341463,0.000999000999000999
myeloid-only,tumor epithelial,205,-0.044489776786089966,-0.04926352022505416,120,0.5853658536585366,0.14485514485514486
myeloid-only,tumor-aggressive,205,-0.21048539989759052,-0.21569109274851642,167,0.8146341463414634,0.000999000999000999
panCAF,IFN/MHC,205,-0.12333390675833536,-0.126053871105426,146,0.7121951219512195,0.000999000999000999
panCAF,SPP1/TAM,205,-0.10118066909493457,-0.11636428345203978,155,0.7560975609756098,0.002997002997002997
panCAF,TGF-beta/EMT,205,-0.4033792731509265,-0.4135157894462157,198,0.9658536585365853,0.000999000999000999
panCAF,immune-core,205,-0.12154062535624313,-0.12266848678335325,146,0.7121951219512195,0.000999000999000999
panCAF,tumor epithelial,205,0.11989601518100639,0.11470044979172972,78,0.3804878048780488,1.0
panCAF,tumor-aggressive,205,-0.17905228107170537,-0.17938856856385316,158,0.7707317073170732,0.000999000999000999
tumor-high,IFN/MHC,205,-0.0705789245766018,-0.07262088669349963,126,0.6146341463414634,0.03996003996003996
tumor-high,SPP1/TAM,205,-0.12394089321507828,-0.13534664966647192,149,0.7268292682926829,0.001998001998001998
tumor-high,TGF-beta/EMT,205,-0.03881887019957911,-0.044101693500479704,115,0.5609756097560976,0.17682317682317683
tumor-high,immune-core,205,0.06395858139536552,0.059190264708092494,85,0.4146341463414634,0.9430569430569431
tumor-high,tumor epithelial,205,-0.6320032547851125,-0.6339303880740448,205,1.0,0.000999000999000999
tumor-high,tumor-aggressive,205,-0.30350618957908104,-0.30407517459079164,183,0.8926829268292683,0.000999000999000999
