dataset,tissue_site,target_program,null_type,n_samples,median_observed_rho,median_null,median_delta,support_n,support_fraction,median_empirical_p,context_label,panel,anchor_type,core_module,target_module,sensitivity_mode,target_removed_status,shared_genes_n,target_genes_n,remaining_target_genes_n,jaccard_index,percent_target_shared_with_core,median_overlap_sensitive_delta,shared_gene_symbols,dataset_id,sample_id,specimen_type,delta_vs_null_median__IFN_MHC,delta_vs_null_median__immune_core,delta_vs_null_median__tumor_aggressive,empirical_p_more_negative__IFN_MHC,empirical_p_more_negative__immune_core,empirical_p_more_negative__tumor_aggressive,null_median_rho__IFN_MHC,null_median_rho__immune_core,null_median_rho__tumor_aggressive,observed_rho__IFN_MHC,observed_rho__immune_core,observed_rho__tumor_aggressive,stromal_tumor_core_coupling,immune_core_coupling,immune_decoupling_index,core_enrichment__IFN/MHC,core_enrichment__immune core,core_enrichment__tumor aggressive,dominant_nmf_ecotype,dominant_nmf_ecotype_label,analysis,left_out_sample,n_samples_included,IFN_MHC_median_delta,immune_core_median_delta,tumor_aggressive_median_delta,IFN_MHC_support_n,immune_core_support_n,tumor_aggressive_support_n,rank,n_runs,n_features,reconstruction_error_mean,reconstruction_error_sd,reconstruction_error_best,relative_error_mean,explained_fraction_mean,explained_fraction_best,ari_mean,ari_sd,component_cosine_to_best_mean,component_cosine_to_best_sd,n_converged_runs,n_not_converged_runs,min_dominant_component_n_best,max_dominant_component_n_best,consensus_pac_0.1_0.9,consensus_cophenetic,delta_explained_from_previous_rank,delta_best_explained_from_previous_rank,init,seed,reconstruction_error,relative_error,explained_fraction,n_iter,converged,min_dominant_component_n,max_dominant_component_n,component_labels
GSE272362,liver_metastasis,IFN/MHC,spatially_contiguous_random_core,12.0,-0.3800445668256801,-0.0732307183678642,-0.3252070899903948,12.0,1.0,0.0009990009990009,"GSE272362
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,liver_metastasis,SPP1/TAM,spatially_contiguous_random_core,12.0,-0.3491304559069502,-0.1031122383580943,-0.2757982002256169,11.0,0.9166666666666666,0.0104895104895104,"GSE272362
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,liver_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,12.0,-0.4008255128804036,-0.0680743802633769,-0.3925018473260823,12.0,1.0,0.0009990009990009,"GSE272362
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,liver_metastasis,immune-core,spatially_contiguous_random_core,12.0,-0.326892701454118,-0.0555012216885113,-0.2955665311491154,12.0,1.0,0.0009990009990009,"GSE272362
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,liver_metastasis,tumor-aggressive,spatially_contiguous_random_core,12.0,-0.3048362072563576,-0.046313357766057,-0.29695098948017,11.0,0.9166666666666666,0.0524475524475524,"GSE272362
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,lymph_node_metastasis,IFN/MHC,spatially_contiguous_random_core,5.0,0.0137889957894828,-0.0102535208187218,0.0025668989447682,2.0,0.4,0.5034965034965035,"GSE272362
LN met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,lymph_node_metastasis,SPP1/TAM,spatially_contiguous_random_core,5.0,-0.396191344039897,-0.1419099331401787,-0.1871783300206141,5.0,1.0,0.0569430569430569,"GSE272362
LN met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,lymph_node_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,5.0,-0.5649929838457088,-0.1215528619289958,-0.4258664350424815,5.0,1.0,0.0009990009990009,"GSE272362
LN met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,lymph_node_metastasis,immune-core,spatially_contiguous_random_core,5.0,0.2315805847167668,0.0006906726479529,0.1103718532960393,2.0,0.4,0.6563436563436563,"GSE272362
LN met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,lymph_node_metastasis,tumor-aggressive,spatially_contiguous_random_core,5.0,-0.3994827765476088,-0.1972943802616634,-0.2182639919257244,4.0,0.8,0.1958041958041958,"GSE272362
LN met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
