module_a,module_b,module_a_genes_n,module_b_genes_n,shared_genes_n,jaccard_index,percent_module_b_shared,shared_gene_symbols
B cell,B cell,6,6,6,1.0,1.0,BANK1;CD19;CD74;CD79A;CD79B;MS4A1
B cell,CAF-myeloid,6,25,0,0.0,0.0,
B cell,DC/APC,6,8,0,0.0,0.0,
B cell,EMT/invasion,6,7,0,0.0,0.0,
B cell,FDC/GC-like,6,6,0,0.0,0.0,
B cell,IFN/MHC antigen-presentation,6,9,0,0.0,0.0,
B cell,IL6-OSM/LIF-JAKSTAT,6,8,0,0.0,0.0,
B cell,SPP1-CD44/integrin,6,8,0,0.0,0.0,
B cell,SPP1/TAM,6,6,0,0.0,0.0,
B cell,T cell,6,5,0,0.0,0.0,
B cell,TGF-beta,6,6,0,0.0,0.0,
B cell,TGF-beta/EMT,6,13,0,0.0,0.0,
B cell,TGF-beta/TGFBR,6,8,0,0.0,0.0,
B cell,TLS chemokine,6,5,0,0.0,0.0,
B cell,acinar_normal,6,5,0,0.0,0.0,
B cell,apCAF,6,5,1,0.1,0.2,CD74
B cell,basal-like,6,7,0,0.0,0.0,
B cell,cd8_effector,6,6,0,0.0,0.0,
B cell,hypoxia,6,6,0,0.0,0.0,
B cell,iCAF,6,7,0,0.0,0.0,
B cell,immune-core,6,32,6,0.1875,0.1875,BANK1;CD19;CD74;CD79A;CD79B;MS4A1
B cell,immune-maturity-like,6,32,6,0.1875,0.1875,BANK1;CD19;CD74;CD79A;CD79B;MS4A1
B cell,islet_endocrine,6,5,0,0.0,0.0,
B cell,matrix-integrin,6,10,0,0.0,0.0,
B cell,myCAF,6,8,0,0.0,0.0,
B cell,myCAF/matrix,6,11,0,0.0,0.0,
B cell,myeloid,6,8,0,0.0,0.0,
B cell,neural_schwann,6,7,0,0.0,0.0,
B cell,panCAF,6,7,0,0.0,0.0,
B cell,pdac_classical_like,6,7,0,0.0,0.0,
B cell,plasma cell,6,7,0,0.0,0.0,
B cell,proliferation,6,6,0,0.0,0.0,
B cell,t_cell_exhaustion_checkpoint,6,6,0,0.0,0.0,
B cell,tumor epithelial,6,6,0,0.0,0.0,
B cell,tumor-aggressive,6,20,0,0.0,0.0,
CAF-myeloid,B cell,25,6,0,0.0,0.0,
CAF-myeloid,CAF-myeloid,25,25,25,1.0,1.0,ACTA2;APOE;C1QA;C1QB;C1QC;CCL18;CD68;COL1A1;COL1A2;COL3A1;CTSB;DCN;FAP;FCGR3A;LGALS3;LST1;LUM;MRC1;MSR1;MYL9;PDPN;SPP1;TAGLN;THY1;TREM2
CAF-myeloid,DC/APC,25,8,0,0.0,0.0,
CAF-myeloid,EMT/invasion,25,7,0,0.0,0.0,
CAF-myeloid,FDC/GC-like,25,6,0,0.0,0.0,
CAF-myeloid,IFN/MHC antigen-presentation,25,9,0,0.0,0.0,
CAF-myeloid,IL6-OSM/LIF-JAKSTAT,25,8,0,0.0,0.0,
CAF-myeloid,SPP1-CD44/integrin,25,8,4,0.13793103448275862,0.5,APOE;LGALS3;SPP1;TREM2
CAF-myeloid,SPP1/TAM,25,6,6,0.24,1.0,APOE;CCL18;CTSB;LGALS3;SPP1;TREM2
CAF-myeloid,T cell,25,5,0,0.0,0.0,
CAF-myeloid,TGF-beta,25,6,0,0.0,0.0,
CAF-myeloid,TGF-beta/EMT,25,13,0,0.0,0.0,
CAF-myeloid,TGF-beta/TGFBR,25,8,0,0.0,0.0,
CAF-myeloid,TLS chemokine,25,5,0,0.0,0.0,
CAF-myeloid,acinar_normal,25,5,0,0.0,0.0,
CAF-myeloid,apCAF,25,5,0,0.0,0.0,
CAF-myeloid,basal-like,25,7,0,0.0,0.0,
CAF-myeloid,cd8_effector,25,6,0,0.0,0.0,
CAF-myeloid,hypoxia,25,6,0,0.0,0.0,
CAF-myeloid,iCAF,25,7,1,0.03225806451612903,0.14285714285714285,PDPN
CAF-myeloid,immune-core,25,32,0,0.0,0.0,
CAF-myeloid,immune-maturity-like,25,32,0,0.0,0.0,
CAF-myeloid,islet_endocrine,25,5,0,0.0,0.0,
CAF-myeloid,matrix-integrin,25,10,5,0.16666666666666666,0.5,COL1A1;COL1A2;COL3A1;DCN;LUM
