dataset,sample_id,patient_id,tissue_site,target_program,null_type,n_spots,n_core_spots,n_perm,observed_rho,null_median,null_p05,null_p95,delta,empirical_p,support
GSE274103,GSM8443449_PDAC-p1,PDAC_p1,metadata_required,IFN/MHC,spatially_contiguous_random_core,4888,489,1000,-0.28324582321168323,-0.08115969103464221,-0.18940597197508835,-0.009208591800245053,-0.20208613217704102,0.000999000999000999,True
GSE274103,GSM8443449_PDAC-p1,PDAC_p1,metadata_required,immune-core,spatially_contiguous_random_core,4888,489,1000,-0.15587960655959715,-0.0734455334424702,-0.26126657222130617,0.09958236041349763,-0.08243407311712694,0.34565434565434566,True
GSE274103,GSM8443449_PDAC-p1,PDAC_p1,metadata_required,tumor-aggressive,spatially_contiguous_random_core,4888,489,1000,-0.3310590675398453,0.003441967891365214,-0.48456646211909776,0.3837018394229092,-0.3345010354312105,0.2077922077922078,True
GSE274103,GSM8443449_PDAC-p1,PDAC_p1,metadata_required,SPP1/TAM,spatially_contiguous_random_core,4888,489,1000,-0.39347492013800955,-0.11211048518575016,-0.24302132694262105,0.1884478344939354,-0.2813644349522594,0.000999000999000999,True
GSE274103,GSM8443449_PDAC-p1,PDAC_p1,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,4888,489,1000,-0.4846397663216272,-0.020658985361215118,-0.34023187369603536,0.22009287191439497,-0.46398078096041206,0.000999000999000999,True
GSE274103,GSM8443449_PDAC-p1,PDAC_p1,metadata_required,tumor epithelial,spatially_contiguous_random_core,4888,489,1000,-0.14122925466002179,-0.004828642498672332,-0.5290672214426965,0.566354356801334,-0.13640061216134947,0.35764235764235763,True
GSE274103,GSM8443449_PDAC-p1,PDAC_p1,metadata_required,myCAF/matrix,spatially_contiguous_random_core,4888,489,1000,-0.4613328731904283,0.004137217353331866,-0.3368214356070223,0.2292051662048704,-0.4654700905437602,0.000999000999000999,True
GSE274103,GSM8443450_PDAC-p2,PDAC_p2,metadata_required,IFN/MHC,spatially_contiguous_random_core,4154,416,1000,-0.351448911764492,-0.004823129054735382,-0.22251474876298305,0.21461245576886784,-0.34662578270975664,0.000999000999000999,True
GSE274103,GSM8443450_PDAC-p2,PDAC_p2,metadata_required,immune-core,spatially_contiguous_random_core,4154,416,1000,-0.38383234362931745,-0.03980642264653822,-0.31398754410654717,0.24336384872818725,-0.34402592098277923,0.000999000999000999,True
GSE274103,GSM8443450_PDAC-p2,PDAC_p2,metadata_required,tumor-aggressive,spatially_contiguous_random_core,4154,416,1000,-0.1483491760268272,0.12218980960838732,-0.31351160629433045,0.41326199708162964,-0.2705389856352145,0.2837162837162837,True
GSE274103,GSM8443450_PDAC-p2,PDAC_p2,metadata_required,SPP1/TAM,spatially_contiguous_random_core,4154,416,1000,-0.4089895661509992,-0.05467068110821559,-0.5388896071895621,0.5019949608208886,-0.3543188850427836,0.2777222777222777,True
GSE274103,GSM8443450_PDAC-p2,PDAC_p2,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,4154,416,1000,-0.38269201499009514,0.03784917849332878,-0.13466714455893947,0.1310996372962243,-0.4205411934834239,0.000999000999000999,True
GSE274103,GSM8443450_PDAC-p2,PDAC_p2,metadata_required,tumor epithelial,spatially_contiguous_random_core,4154,416,1000,0.07874453212661521,0.08488443914915365,-0.3163250914034844,0.44709075797631864,-0.006139907022538443,0.4905094905094905,True
GSE274103,GSM8443450_PDAC-p2,PDAC_p2,metadata_required,myCAF/matrix,spatially_contiguous_random_core,4154,416,1000,-0.3024448859407792,-0.026101452553255335,-0.2901056552157186,0.2152902774545461,-0.2763434333875238,0.01998001998001998,True
GSE274103,GSM8443451_PDAC-p3,PDAC_p3,metadata_required,IFN/MHC,spatially_contiguous_random_core,3619,362,1000,-0.19049227197245697,0.04681177634944203,-0.4415019564811453,0.45055520353085987,-0.237304048321899,0.34665334665334663,True
GSE274103,GSM8443451_PDAC-p3,PDAC_p3,metadata_required,immune-core,spatially_contiguous_random_core,3619,362,1000,-0.21831190410925683,0.03694758512093313,-0.4326180968909121,0.4136313028741457,-0.25525948923018993,0.3256743256743257,True
GSE274103,GSM8443451_PDAC-p3,PDAC_p3,metadata_required,tumor-aggressive,spatially_contiguous_random_core,3619,362,1000,-0.0572248569210539,-0.017304045189424605,-0.07402693958915146,0.0877018881114532,-0.03992081173162929,0.14985014985014986,True
GSE274103,GSM8443451_PDAC-p3,PDAC_p3,metadata_required,SPP1/TAM,spatially_contiguous_random_core,3619,362,1000,-0.22713377405952365,0.03157941160852053,-0.19940317885667758,0.27137694805180634,-0.2587131856680442,0.000999000999000999,True
GSE274103,GSM8443451_PDAC-p3,PDAC_p3,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,3619,362,1000,-0.2502634411496454,0.06682467580832706,-0.08543591733304415,0.15832983678172807,-0.31708811695797245,0.000999000999000999,True
GSE274103,GSM8443451_PDAC-p3,PDAC_p3,metadata_required,tumor epithelial,spatially_contiguous_random_core,3619,362,1000,-0.02175584016428485,-0.0349695499679961,-0.24023925452653316,0.26103711810452984,0.013213709803711251,0.5124875124875125,False
GSE274103,GSM8443451_PDAC-p3,PDAC_p3,metadata_required,myCAF/matrix,spatially_contiguous_random_core,3619,362,1000,-0.37345261589150813,0.07986482467023923,-0.13451926649522788,0.21542460881939807,-0.4533174405617474,0.000999000999000999,True
GSE274103,GSM8443452_PDAC-p4,PDAC_p4,metadata_required,IFN/MHC,spatially_contiguous_random_core,4914,492,1000,-0.09308328885724254,0.006795330685370478,-0.1044077407195077,0.09943874949452314,-0.09987861954261301,0.0969030969030969,True
GSE274103,GSM8443452_PDAC-p4,PDAC_p4,metadata_required,immune-core,spatially_contiguous_random_core,4914,492,1000,-0.16194539330815097,0.07427875189731843,-0.08568895229876854,0.2316059054151957,-0.23622414520546942,0.000999000999000999,True
GSE274103,GSM8443452_PDAC-p4,PDAC_p4,metadata_required,tumor-aggressive,spatially_contiguous_random_core,4914,492,1000,-0.01785037585721301,-0.14778803659194867,-0.4376805055242816,0.31771441365495884,0.12993766073473567,0.6693306693306693,False
GSE274103,GSM8443452_PDAC-p4,PDAC_p4,metadata_required,SPP1/TAM,spatially_contiguous_random_core,4914,492,1000,-0.25373221813210817,-0.06200634254490138,-0.39708944798103474,0.4043263190667932,-0.19172587558720677,0.2907092907092907,True
GSE274103,GSM8443452_PDAC-p4,PDAC_p4,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,4914,492,1000,-0.2917567859832506,-0.03503589283055719,-0.44560819788379347,0.4848614041241683,-0.2567208931526934,0.26873126873126874,True
GSE274103,GSM8443452_PDAC-p4,PDAC_p4,metadata_required,tumor epithelial,spatially_contiguous_random_core,4914,492,1000,0.16351750434190784,-0.14511326411377057,-0.3197808747686165,0.08201079888319175,0.3086307684556784,1.0,False
GSE274103,GSM8443452_PDAC-p4,PDAC_p4,metadata_required,myCAF/matrix,spatially_contiguous_random_core,4914,492,1000,-0.4821721265008715,0.1232125435703002,0.056984189435916,0.2936804611592565,-0.6053846700711717,0.000999000999000999,True
GSE274103,GSM8443453_PDAC-p5,PDAC_p5,metadata_required,IFN/MHC,spatially_contiguous_random_core,4874,488,1000,-0.25050646225050444,0.004792638737524895,-0.21203806888576443,0.1911869451619455,-0.2552991009880293,0.000999000999000999,True
GSE274103,GSM8443453_PDAC-p5,PDAC_p5,metadata_required,immune-core,spatially_contiguous_random_core,4874,488,1000,-0.1388188242260961,0.02936282682235924,-0.1366102253440611,0.12628595206017112,-0.16818165104845534,0.04695304695304695,True
GSE274103,GSM8443453_PDAC-p5,PDAC_p5,metadata_required,tumor-aggressive,spatially_contiguous_random_core,4874,488,1000,-0.24075219350861368,-0.07375855354665042,-0.25480017379205017,0.11847381516186209,-0.16699363996196326,0.1008991008991009,True
GSE274103,GSM8443453_PDAC-p5,PDAC_p5,metadata_required,SPP1/TAM,spatially_contiguous_random_core,4874,488,1000,-0.35409343798044834,0.024316274190113406,-0.24491430683615523,0.26400616441073665,-0.37840971217056174,0.000999000999000999,True
GSE274103,GSM8443453_PDAC-p5,PDAC_p5,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,4874,488,1000,-0.2497636365933551,-0.07363434339140992,-0.18561839548745968,-0.012129280077356993,-0.17612929320194518,0.001998001998001998,True
GSE274103,GSM8443453_PDAC-p5,PDAC_p5,metadata_required,tumor epithelial,spatially_contiguous_random_core,4874,488,1000,-0.10818472395674182,-0.07707838379822839,-0.15899132481267708,0.08846057887922902,-0.031106340158513435,0.3926073926073926,True
GSE274103,GSM8443453_PDAC-p5,PDAC_p5,metadata_required,myCAF/matrix,spatially_contiguous_random_core,4874,488,1000,-0.270687397624551,-0.0025517638017716576,-0.31485492959837424,0.18012848751683164,-0.2681356338227794,0.14385614385614387,True
GSE282302,GSM8641003_C1_D10_ROI1_s1,C1_D10,metadata_required,IFN/MHC,spatially_contiguous_random_core,2646,265,1000,-0.20733790812341382,-0.08352133966212752,-0.47393855385451045,0.452391783686693,-0.1238165684612863,0.3696303696303696,True
GSE282302,GSM8641003_C1_D10_ROI1_s1,C1_D10,metadata_required,immune-core,spatially_contiguous_random_core,2646,265,1000,-0.1808920705920669,-0.03074428955574001,-0.6005614831079392,0.5338522155164969,-0.1501477810363269,0.3876123876123876,True
GSE282302,GSM8641003_C1_D10_ROI1_s1,C1_D10,metadata_required,tumor-aggressive,spatially_contiguous_random_core,2646,265,1000,-0.1996239831135815,-0.07529964498243152,-0.4097664630966445,0.32188425224439776,-0.12432433813114999,0.34065934065934067,True
GSE282302,GSM8641003_C1_D10_ROI1_s1,C1_D10,metadata_required,SPP1/TAM,spatially_contiguous_random_core,2646,265,1000,-0.33790904489412615,0.02500030901036635,-0.35851987083735165,0.2944534976343008,-0.3629093539044925,0.09090909090909091,True
GSE282302,GSM8641003_C1_D10_ROI1_s1,C1_D10,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,2646,265,1000,-0.34058999338325274,-0.08430972413980323,-0.24939495396059527,0.12884555335482134,-0.2562802692434495,0.000999000999000999,True
GSE282302,GSM8641003_C1_D10_ROI1_s1,C1_D10,metadata_required,tumor epithelial,spatially_contiguous_random_core,2646,265,1000,-0.08163739087309156,-0.1370814586088564,-0.3510826651269258,0.2675217444064652,0.05544406773576484,0.5644355644355644,False
GSE282302,GSM8641003_C1_D10_ROI1_s1,C1_D10,metadata_required,myCAF/matrix,spatially_contiguous_random_core,2646,265,1000,-0.2933772990002849,-0.02973798204852349,-0.3222989603844699,0.28668923599254154,-0.2636393169517614,0.10589410589410589,True
GSE282302,GSM8641004_C1_D10_ROI2_s1,C1_D10,metadata_required,IFN/MHC,spatially_contiguous_random_core,3274,328,1000,-0.3857504347280655,-0.10663917190027362,-0.32140900150439994,0.18154296389571312,-0.2791112628277919,0.000999000999000999,True
GSE282302,GSM8641004_C1_D10_ROI2_s1,C1_D10,metadata_required,immune-core,spatially_contiguous_random_core,3274,328,1000,-0.42808706082414144,-0.14955256071673226,-0.35406570944662624,0.1792349578175828,-0.2785345001074092,0.000999000999000999,True
GSE282302,GSM8641004_C1_D10_ROI2_s1,C1_D10,metadata_required,tumor-aggressive,spatially_contiguous_random_core,3274,328,1000,-0.5921866895949225,0.09056180075557184,-0.47345571906188605,0.4580647055512515,-0.6827484903504943,0.000999000999000999,True
GSE282302,GSM8641004_C1_D10_ROI2_s1,C1_D10,metadata_required,SPP1/TAM,spatially_contiguous_random_core,3274,328,1000,-0.46494600942506226,-0.01642229054957075,-0.24506773746147478,0.24658589381254656,-0.44852371887549153,0.000999000999000999,True
GSE282302,GSM8641004_C1_D10_ROI2_s1,C1_D10,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,3274,328,1000,-0.6873213156603294,0.0326689726885043,-0.36942167794723657,0.3518087726672345,-0.7199902883488337,0.000999000999000999,True
GSE282302,GSM8641004_C1_D10_ROI2_s1,C1_D10,metadata_required,tumor epithelial,spatially_contiguous_random_core,3274,328,1000,-0.21630304513717527,0.17054851179044367,-0.34715986346997746,0.3181838625939958,-0.38685155692761897,0.17182817182817184,True
GSE282302,GSM8641004_C1_D10_ROI2_s1,C1_D10,metadata_required,myCAF/matrix,spatially_contiguous_random_core,3274,328,1000,-0.6852019539252496,0.05959957999606716,-0.3740197272449727,0.360116792581962,-0.7448015339213168,0.000999000999000999,True
GSE282302,GSM8641005_C1_D11_ROI1_s1,C1_D11,metadata_required,IFN/MHC,spatially_contiguous_random_core,2993,300,1000,-0.06691748838374205,-0.0071616979932762085,-0.14293884943053484,0.1798178482057479,-0.05975579039046584,0.36063936063936064,True
GSE282302,GSM8641005_C1_D11_ROI1_s1,C1_D11,metadata_required,immune-core,spatially_contiguous_random_core,2993,300,1000,-0.07975418082273408,0.005812168511354435,-0.2315882465090788,0.2521552330923494,-0.08556634933408852,0.3206793206793207,True
GSE282302,GSM8641005_C1_D11_ROI1_s1,C1_D11,metadata_required,tumor-aggressive,spatially_contiguous_random_core,2993,300,1000,-0.10364873238295401,0.03415691645390859,-0.19266920586854663,0.23652012518553484,-0.13780564883686258,0.24475524475524477,True
GSE282302,GSM8641005_C1_D11_ROI1_s1,C1_D11,metadata_required,SPP1/TAM,spatially_contiguous_random_core,2993,300,1000,-0.09299723109566345,-0.029102916040752932,-0.16604844312526204,0.12284323176809533,-0.06389431505491051,0.2947052947052947,True
GSE282302,GSM8641005_C1_D11_ROI1_s1,C1_D11,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,2993,300,1000,-0.37625118091497206,0.12668665741898638,-0.06893140314982024,0.24957471731857328,-0.5029378383339584,0.000999000999000999,True
GSE282302,GSM8641005_C1_D11_ROI1_s1,C1_D11,metadata_required,tumor epithelial,spatially_contiguous_random_core,2993,300,1000,0.13668660296099605,-0.058682073429880396,-0.25533693298229837,0.12369233170792751,0.19536867639087646,0.99000999000999,False
GSE282302,GSM8641005_C1_D11_ROI1_s1,C1_D11,metadata_required,myCAF/matrix,spatially_contiguous_random_core,2993,300,1000,-0.30962166361965476,0.06527026288890159,-0.06038696016706819,0.18091968079948098,-0.37489192650855635,0.000999000999000999,True
GSE282302,GSM8641006_C1_D11_ROI2_s1,C1_D11,metadata_required,IFN/MHC,spatially_contiguous_random_core,3208,321,1000,0.03330182515965645,-0.14359626926344451,-0.27880814705579454,0.20073309812547202,0.17689809442310095,0.6783216783216783,False
GSE282302,GSM8641006_C1_D11_ROI2_s1,C1_D11,metadata_required,immune-core,spatially_contiguous_random_core,3208,321,1000,-0.08750861097219556,0.027618523037266994,-0.20821383272496002,0.22380425298803863,-0.11512713400946256,0.34265734265734266,True
GSE282302,GSM8641006_C1_D11_ROI2_s1,C1_D11,metadata_required,tumor-aggressive,spatially_contiguous_random_core,3208,321,1000,0.08221370298409318,-0.2118462638763975,-0.4582329909355721,-0.026097257369539228,0.2940599668604907,1.0,False
GSE282302,GSM8641006_C1_D11_ROI2_s1,C1_D11,metadata_required,SPP1/TAM,spatially_contiguous_random_core,3208,321,1000,-0.030652502744617314,-0.17364588935504466,-0.4604062187344111,0.09550293016287346,0.14299338661042735,0.7762237762237763,False
GSE282302,GSM8641006_C1_D11_ROI2_s1,C1_D11,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,3208,321,1000,-0.33934641893914747,-0.003345614321490196,-0.09673946901304382,0.14887825811944785,-0.33600080461765724,0.000999000999000999,True
GSE282302,GSM8641006_C1_D11_ROI2_s1,C1_D11,metadata_required,tumor epithelial,spatially_contiguous_random_core,3208,321,1000,0.33765511599269765,-0.1785522986617748,-0.4918663718738711,0.1288619606278697,0.5162074146544724,1.0,False
GSE282302,GSM8641006_C1_D11_ROI2_s1,C1_D11,metadata_required,myCAF/matrix,spatially_contiguous_random_core,3208,321,1000,-0.3497393313329142,0.14965726522272757,-0.11289348924482326,0.3819044600911033,-0.4993965965556417,0.000999000999000999,True
GSE282302,GSM8641007_C1_D12_ROI1_s1,C1_D12,metadata_required,IFN/MHC,spatially_contiguous_random_core,4100,410,1000,-0.2714036086594057,0.043624429017769924,-0.30124130329571225,0.30381580259375196,-0.31502803767717563,0.0989010989010989,True
GSE282302,GSM8641007_C1_D12_ROI1_s1,C1_D12,metadata_required,immune-core,spatially_contiguous_random_core,4100,410,1000,-0.36994520879177467,0.12975981745917065,-0.3383092312547548,0.5042412231995118,-0.4997050262509453,0.02197802197802198,True
GSE282302,GSM8641007_C1_D12_ROI1_s1,C1_D12,metadata_required,tumor-aggressive,spatially_contiguous_random_core,4100,410,1000,0.05287093942420078,-0.1794235698669937,-0.41391911544455345,-0.10302511427362798,0.2322945092911945,1.0,False
GSE282302,GSM8641007_C1_D12_ROI1_s1,C1_D12,metadata_required,SPP1/TAM,spatially_contiguous_random_core,4100,410,1000,-0.09612760630591499,-0.11302222671141905,-0.25295330386352416,-0.056280334369817726,0.01689462040550406,0.6183816183816184,False
