dataset,tissue_site,target_program,null_type,n_samples,median_observed_rho,median_null,median_delta,support_n,support_fraction,median_empirical_p
GSE235315,primary_tumor,IFN/MHC,spatially_contiguous_random_core,7,-0.18318453803338505,-0.030138443725282633,-0.18763780699017857,6,0.8571428571428571,0.2217782217782218
GSE235315,primary_tumor,SPP1/TAM,spatially_contiguous_random_core,7,-0.416253287712821,-0.08443641321457845,-0.3363535186859353,6,0.8571428571428571,0.00999000999000999
GSE235315,primary_tumor,TGF-beta/EMT,spatially_contiguous_random_core,7,-0.4164764618971494,-0.09253779303470194,-0.3550456986081324,6,0.8571428571428571,0.000999000999000999
GSE235315,primary_tumor,immune-core,spatially_contiguous_random_core,7,-0.15832109818053225,0.027009502099159005,-0.19454507925099432,5,0.7142857142857143,0.2057942057942058
GSE235315,primary_tumor,myCAF/matrix,spatially_contiguous_random_core,7,-0.3551690014370364,-0.058915758559070726,-0.3755207546824902,6,0.8571428571428571,0.000999000999000999
GSE235315,primary_tumor,tumor epithelial,spatially_contiguous_random_core,7,0.05399472583831522,-0.09804800573015612,0.1814958451377197,2,0.2857142857142857,0.7542457542457542
GSE235315,primary_tumor,tumor-aggressive,spatially_contiguous_random_core,7,-0.24456832769902617,-0.08238710355949978,-0.1621812241395264,5,0.7142857142857143,0.2857142857142857
GSE272362,liver_metastasis,IFN/MHC,spatially_contiguous_random_core,12,-0.3800445668256801,-0.07323071836786421,-0.3252070899903948,12,1.0,0.000999000999000999
GSE272362,liver_metastasis,SPP1/TAM,spatially_contiguous_random_core,12,-0.34913045590695024,-0.1031122383580943,-0.2757982002256169,11,0.9166666666666666,0.01048951048951049
GSE272362,liver_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,12,-0.4008255128804036,-0.06807438026337692,-0.39250184732608234,12,1.0,0.000999000999000999
GSE272362,liver_metastasis,immune-core,spatially_contiguous_random_core,12,-0.326892701454118,-0.05550122168851138,-0.29556653114911546,12,1.0,0.000999000999000999
GSE272362,liver_metastasis,myCAF/matrix,spatially_contiguous_random_core,12,-0.457782064784252,-0.05397820573094808,-0.3808202371285178,12,1.0,0.004995004995004996
GSE272362,liver_metastasis,tumor epithelial,spatially_contiguous_random_core,12,-0.1972933881704871,-0.030588532254704683,-0.23081029863175645,9,0.75,0.3276723276723277
GSE272362,liver_metastasis,tumor-aggressive,spatially_contiguous_random_core,12,-0.3048362072563576,-0.04631335776605705,-0.29695098948017,11,0.9166666666666666,0.05244755244755245
GSE272362,lymph_node_metastasis,IFN/MHC,spatially_contiguous_random_core,5,0.013788995789482844,-0.010253520818721853,0.002566898944768234,2,0.4,0.5034965034965035
GSE272362,lymph_node_metastasis,SPP1/TAM,spatially_contiguous_random_core,5,-0.396191344039897,-0.14190993314017875,-0.18717833002061418,5,1.0,0.056943056943056944
GSE272362,lymph_node_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,5,-0.5649929838457088,-0.12155286192899586,-0.4258664350424815,5,1.0,0.000999000999000999
