anchor,target_program,n_samples,median_delta_vs_random,n_support,median_observed_rho
CAF_APC,IFN_APC,6,-0.3743895586852587,6,-0.4433364996763418
CAF_APC,SPP1_TAM,6,-0.2383317414365815,6,-0.2775486525303592
CAF_APC,SPP1_tumor_like,6,0.3618900925312713,0,0.2549097246600704
CAF_APC,TGFb_EMT,6,-0.1390395691734557,5,-0.1179317635244421
CAF_APC,T_NK,6,-0.1379948609133791,6,-0.2135128256018865
CAF_APC,Tumor_epithelial,6,0.4127011068094945,0,0.2905377398179686
CAF_SPP1TAM,IFN_APC,6,-0.3158619545650741,6,-0.3765508871963952
CAF_SPP1TAM,SPP1_TAM,6,-0.419757456656634,6,-0.4672655718625687
CAF_SPP1TAM,SPP1_tumor_like,6,0.2614003809088982,0,0.1541983758886539
CAF_SPP1TAM,TGFb_EMT,6,-0.1651716090311478,6,-0.1309723203154651
CAF_SPP1TAM,T_NK,6,-0.1530465373701099,6,-0.1923521629346186
CAF_SPP1TAM,Tumor_epithelial,6,0.3513482995885093,0,0.2399304910277758
