dataset_id,sample_id,patient_id,n_spots,n_core_spots,target_label,observed_rho,null_median_rho,null_p05_rho,null_p95_rho,delta_vs_null_median,empirical_p_more_negative,observed_more_negative_than_null
GSE235315,GSM7498811_SS1905133,SS1905133,3947,395,IFN/MHC,-0.372209432697165,-0.007073516798706514,-0.059689521320833425,0.04846341204947306,-0.3651359158984585,0.000999000999000999,True
GSE235315,GSM7498811_SS1905133,SS1905133,3947,395,immune core,-0.3107748314279623,0.004641528952466046,-0.052257634219291436,0.0608374438821204,-0.31541636038042836,0.000999000999000999,True
GSE235315,GSM7498811_SS1905133,SS1905133,3947,395,tumor aggressive,-0.24456832769902617,-0.014107748909248017,-0.07559181015280778,0.04100632723511424,-0.23046057878977816,0.000999000999000999,True
GSE235315,GSM7498811_SS1905133,SS1905133,3947,395,immune maturity-like,-0.17873841767734716,-0.006161030250240384,-0.0575801777681672,0.04859024137213131,-0.17257738742710677,0.000999000999000999,True
GSE235315,GSM7498812_SS1923404,SS1923404,2248,225,IFN/MHC,-0.07528201888068992,0.007373871177699382,-0.051117451788103514,0.06694551653275423,-0.0826558900583893,0.01098901098901099,True
GSE235315,GSM7498812_SS1923404,SS1923404,2248,225,immune core,0.08209571973609708,0.011960997141514813,-0.05948710238659848,0.08958356789375768,0.07013472259458227,0.9400599400599401,False
GSE235315,GSM7498812_SS1923404,SS1923404,2248,225,tumor aggressive,-0.2924132503490814,-0.016016510008347834,-0.0772362371412624,0.049328573933366045,-0.2763967403407336,0.000999000999000999,True
GSE235315,GSM7498812_SS1923404,SS1923404,2248,225,immune maturity-like,0.0674092459605987,-0.008035796213373988,-0.07371917564557569,0.06612886951727384,0.07544504217397269,0.954045954045954,False
GSE235315,GSM7498813_SS1945070,SS1945070,4373,437,IFN/MHC,-0.4013489833936329,0.0023212955325347274,-0.04795004011428438,0.05579401683938404,-0.40367027892616764,0.000999000999000999,True
GSE235315,GSM7498813_SS1945070,SS1945070,4373,437,immune core,-0.3580730558062722,0.0012011131214747324,-0.050484514109004806,0.05217960746694866,-0.35927416892774694,0.000999000999000999,True
GSE235315,GSM7498813_SS1945070,SS1945070,4373,437,tumor aggressive,-0.3222772283811254,0.0011191981410398925,-0.04749939597373965,0.047881348016802175,-0.32339642652216527,0.000999000999000999,True
GSE235315,GSM7498813_SS1945070,SS1945070,4373,437,immune maturity-like,-0.33454601590093697,-0.0046459122115737155,-0.056425566717009115,0.047112714545535075,-0.32990010368936323,0.000999000999000999,True
GSE235315,GSM7498814_SS1960050,SS1960050,4649,465,IFN/MHC,-0.2835960165902935,-0.00234693929678616,-0.05652181531605892,0.056657477513412435,-0.28124907729350734,0.000999000999000999,True
GSE235315,GSM7498814_SS1960050,SS1960050,4649,465,immune core,-0.15832109818053228,-0.0008223608800930202,-0.05584119421513608,0.06407113392416011,-0.15749873730043926,0.000999000999000999,True
GSE235315,GSM7498814_SS1960050,SS1960050,4649,465,tumor aggressive,-0.4242646034742319,-0.0059694735840277145,-0.05486949625382622,0.04073765253765316,-0.4182951298902042,0.000999000999000999,True
GSE235315,GSM7498814_SS1960050,SS1960050,4649,465,immune maturity-like,-0.005442234973096236,0.00014737502651261198,-0.05452325429918386,0.05170686928684136,-0.0055896099996088485,0.43456543456543456,True
GSE235315,GSM7498815_SS2002154,SS2002154,3168,317,IFN/MHC,-0.18318453803338505,0.007783650217980482,-0.04225777466031419,0.05661520301983455,-0.19096818825136552,0.000999000999000999,True
GSE235315,GSM7498815_SS2002154,SS2002154,3168,317,immune core,-0.1999066228966495,0.01267959800557517,-0.03906228564342494,0.06231773718756398,-0.21258622090222468,0.000999000999000999,True
GSE235315,GSM7498815_SS2002154,SS2002154,3168,317,tumor aggressive,0.05791093362200728,-0.030250069186549305,-0.0742049897161589,0.018640968046831245,0.08816100280855658,0.998001998001998,False
GSE235315,GSM7498815_SS2002154,SS2002154,3168,317,immune maturity-like,-0.23208664904738519,0.01099061246632831,-0.04019820986373879,0.06644370690596133,-0.2430772615137135,0.000999000999000999,True
GSE235315,GSM7498816_SS2005094,SS2005094,3582,358,IFN/MHC,-0.11331065779754214,-0.02199722182252157,-0.0786469902392666,0.0348337308829628,-0.09131343597502056,0.008991008991008992,True
GSE235315,GSM7498816_SS2005094,SS2005094,3582,358,immune core,0.03388959015852935,-0.017670183551114476,-0.08533222734068058,0.04764379613182166,0.05155977370964382,0.9170829170829171,False
GSE235315,GSM7498816_SS2005094,SS2005094,3582,358,tumor aggressive,-0.03111269025105132,-0.018338553043180432,-0.06810021326441269,0.028876008695659854,-0.012774137207870889,0.34265734265734266,True
GSE235315,GSM7498816_SS2005094,SS2005094,3582,358,immune maturity-like,0.06490462675928407,-0.02176490115394626,-0.07989454022706806,0.03618982824932914,0.08666952791323033,0.998001998001998,False
GSE235315,GSM7498817_SS2021309,SS2021309,3468,347,IFN/MHC,-0.16943909834797383,-0.0045770736945110035,-0.058057989875364896,0.048223740909511405,-0.16486202465346284,0.000999000999000999,True
GSE235315,GSM7498817_SS2021309,SS2021309,3468,347,immune core,-0.0994650557373486,0.0005823823973633768,-0.04952759991380807,0.050994794758079706,-0.10004743813471197,0.001998001998001998,True
GSE235315,GSM7498817_SS2021309,SS2021309,3468,347,tumor aggressive,-0.16626822698861354,-0.004862848641301894,-0.05685479527419176,0.049120066961172056,-0.16140537834731164,0.000999000999000999,True
GSE235315,GSM7498817_SS2021309,SS2021309,3468,347,immune maturity-like,0.03975781516350267,0.0014963103902884294,-0.056195480600385275,0.05894370021596864,0.038261504773214244,0.8591408591408591,False
