panel,source,item,metric,value
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE274103|IFN/MHC,median_delta_vs_random,-0.253412780051469
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE274103|Immune core,median_delta_vs_random,-0.166175911446206
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE274103|Immune maturity,median_delta_vs_random,-0.130160547543657
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE274103|Tumor aggressive,median_delta_vs_random,-0.150227661016657
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE282302|IFN/MHC,median_delta_vs_random,-0.289728269125832
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE282302|Immune core,median_delta_vs_random,-0.220222213584424
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE282302|Immune maturity,median_delta_vs_random,-0.131452161390068
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE282302|Tumor aggressive,median_delta_vs_random,-0.340772435034367
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,liver_metastasis|IFN/MHC,median_delta_vs_random,-0.385136559231872
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,liver_metastasis|Immune core,median_delta_vs_random,-0.331670396380812
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,liver_metastasis|Immune maturity,median_delta_vs_random,-0.353943808072102
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,liver_metastasis|Tumor aggressive,median_delta_vs_random,-0.30605285491395
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,lymph_node_metastasis|IFN/MHC,median_delta_vs_random,0.0058580002497711
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,lymph_node_metastasis|Immune core,median_delta_vs_random,0.232690395463584
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,lymph_node_metastasis|Immune maturity,median_delta_vs_random,-0.13674725930233
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,lymph_node_metastasis|Tumor aggressive,median_delta_vs_random,-0.395404540835516
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,normal_pancreas|IFN/MHC,median_delta_vs_random,-0.251632065540419
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,normal_pancreas|Immune core,median_delta_vs_random,-0.260248051152518
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,normal_pancreas|Immune maturity,median_delta_vs_random,-0.230234902674299
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,normal_pancreas|Tumor aggressive,median_delta_vs_random,-0.0986585197262985
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,primary_tumor|IFN/MHC,median_delta_vs_random,-0.275975072010544
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,primary_tumor|Immune core,median_delta_vs_random,-0.188417371515894
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,primary_tumor|Immune maturity,median_delta_vs_random,-0.15465718308029
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,primary_tumor|Tumor aggressive,median_delta_vs_random,-0.268340790017487
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE235315|IFN/MHC,median_delta_vs_random,-0.1909681882513655
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE235315|Immune core,median_delta_vs_random,-0.1574987373004392
A,Source_Data_Extended_Random_Core_* plus Source_Data_Fig_6A,GSE235315|Tumor aggressive,median_delta_vs_random,-0.2304605787897781
B,Source_Data_Extended_Threshold_Sensitivity.csv,IFN/MHC|top_10,median_rho_across_contexts,-0.27545823159212446
B,Source_Data_Extended_Threshold_Sensitivity.csv,IFN/MHC|top_15,median_rho_across_contexts,-0.2863085240331755
B,Source_Data_Extended_Threshold_Sensitivity.csv,IFN/MHC|top_5,median_rho_across_contexts,-0.2525662559331415
B,Source_Data_Extended_Threshold_Sensitivity.csv,Immune core|top_10,median_rho_across_contexts,-0.21193851914427703
B,Source_Data_Extended_Threshold_Sensitivity.csv,Immune core|top_15,median_rho_across_contexts,-0.235170343712492
B,Source_Data_Extended_Threshold_Sensitivity.csv,Immune core|top_5,median_rho_across_contexts,-0.18026477557432702
B,Source_Data_Extended_Threshold_Sensitivity.csv,Immune maturity|top_10,median_rho_across_contexts,-0.157751619434805
B,Source_Data_Extended_Threshold_Sensitivity.csv,Immune maturity|top_15,median_rho_across_contexts,-0.17597992336027002
B,Source_Data_Extended_Threshold_Sensitivity.csv,Immune maturity|top_5,median_rho_across_contexts,-0.1543733859213375
B,Source_Data_Extended_Threshold_Sensitivity.csv,Tumor aggressive|top_10,median_rho_across_contexts,-0.293659177649219
B,Source_Data_Extended_Threshold_Sensitivity.csv,Tumor aggressive|top_15,median_rho_across_contexts,-0.30195024319221897
B,Source_Data_Extended_Threshold_Sensitivity.csv,Tumor aggressive|top_5,median_rho_across_contexts,-0.2863200524189275
C,Source_Data_Extended_Data_Fig_12A_C_distance_dynamics.csv,IFN/MHC|Core,median_module_score,0.3891022882700656
C,Source_Data_Extended_Data_Fig_12A_C_distance_dynamics.csv,IFN/MHC|Near,median_module_score,0.0749319491712447
C,Source_Data_Extended_Data_Fig_12A_C_distance_dynamics.csv,IFN/MHC|Mid,median_module_score,-0.0653516385640948
C,Source_Data_Extended_Data_Fig_12A_C_distance_dynamics.csv,IFN/MHC|Far,median_module_score,-0.3087676557781307
C,Source_Data_Extended_Data_Fig_12A_C_distance_dynamics.csv,Immune core|Core,median_module_score,0.1235316652252363
