panel,item,metric,value
A_he_cv,CAF-myeloid,fold,0.0
A_he_cv,CAF-myeloid,permutation,-1.0
A_he_cv,CAF-myeloid,n_train,289225.0
A_he_cv,CAF-myeloid,n_test,289225.0
A_he_cv,CAF-myeloid,spearman_rho,0.4214677724272491
A_he_cv,CAF-myeloid,r2,0.1796440483476576
A_he_cv,CAF-myeloid,null_median,-0.00245885301260945
A_he_cv,CAF-myeloid,null_q05,-0.008767987071600885
A_he_cv,CAF-myeloid,null_q95,0.0038464729801501955
A_he_cv,tumor aggressive,fold,0.0
A_he_cv,tumor aggressive,permutation,-1.0
A_he_cv,tumor aggressive,n_train,289225.0
A_he_cv,tumor aggressive,n_test,289225.0
A_he_cv,tumor aggressive,spearman_rho,0.1883271196215866
A_he_cv,tumor aggressive,r2,0.0392927908299763
A_he_cv,tumor aggressive,null_median,-0.00268285804810925
A_he_cv,tumor aggressive,null_q05,-0.009129495725603535
A_he_cv,tumor aggressive,null_q95,0.00249639032487934
A_he_cv,IFN/MHC,fold,0.0
A_he_cv,IFN/MHC,permutation,-1.0
A_he_cv,IFN/MHC,n_train,289225.0
A_he_cv,IFN/MHC,n_test,289225.0
A_he_cv,IFN/MHC,spearman_rho,0.1726455447289656
A_he_cv,IFN/MHC,r2,0.0290859070745065
A_he_cv,IFN/MHC,null_median,-0.00238477398358475
A_he_cv,IFN/MHC,null_q05,-0.005689671612057441
A_he_cv,IFN/MHC,null_q95,0.0023896636104149553
A_he_cv,immune core,fold,0.0
A_he_cv,immune core,permutation,-1.0
A_he_cv,immune core,n_train,289225.0
A_he_cv,immune core,n_test,289225.0
A_he_cv,immune core,spearman_rho,0.1983975841121815
A_he_cv,immune core,r2,0.0389597038655239
A_he_cv,immune core,null_median,-0.00537720553476945
A_he_cv,immune core,null_q05,-0.01161781710884389
A_he_cv,immune core,null_q95,-0.0005110888614019893
B_he_features,CAF-myeloid,feature,mean_edge
B_he_features,CAF-myeloid,feature_label,edge density
B_he_features,CAF-myeloid,n_samples,113.0
B_he_features,CAF-myeloid,median_rho,-0.1417533429686387
B_he_features,CAF-myeloid,mean_abs_rho,0.2110324016903897
B_he_features,CAF-myeloid,n_positive,31.0
B_he_features,CAF-myeloid,n_negative,82.0
B_he_features,CAF-myeloid,fraction_same_sign_as_median,0.7256637168141593
B_he_features,CAF-myeloid,feature,mean_gray
B_he_features,CAF-myeloid,feature_label,brightness
B_he_features,CAF-myeloid,n_samples,113.0
B_he_features,CAF-myeloid,median_rho,0.3306166520296021
B_he_features,CAF-myeloid,mean_abs_rho,0.3557060546003154
B_he_features,CAF-myeloid,n_positive,106.0
B_he_features,CAF-myeloid,n_negative,7.0
B_he_features,CAF-myeloid,fraction_same_sign_as_median,0.9380530973451328
B_he_features,CAF-myeloid,feature,mean_od_blue
B_he_features,CAF-myeloid,feature_label,blue OD
B_he_features,CAF-myeloid,n_samples,113.0
B_he_features,CAF-myeloid,median_rho,-0.3402430257152225
B_he_features,CAF-myeloid,mean_abs_rho,0.3550645734835504
B_he_features,CAF-myeloid,n_positive,6.0
B_he_features,CAF-myeloid,n_negative,107.0
B_he_features,CAF-myeloid,fraction_same_sign_as_median,0.9469026548672568
B_he_features,CAF-myeloid,feature,mean_od_green
B_he_features,CAF-myeloid,feature_label,green OD
B_he_features,CAF-myeloid,n_samples,113.0
B_he_features,CAF-myeloid,median_rho,-0.3126900072050712
B_he_features,CAF-myeloid,mean_abs_rho,0.3369065057192874
