dataset,sample_id,tissue_site,target_program,observed_rho,random_median_rho,delta_vs_random,empirical_p,support,source_file
GSE282302,GSM8641003_C1_D10_ROI1_s1,metadata_required,immune_core,-0.180892070592067,-0.00676144436041543,-0.174130626231652,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641003_C1_D10_ROI1_s1,metadata_required,ifn_mhc,-0.207337908123414,-0.00564471624759066,-0.201693191875823,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641003_C1_D10_ROI1_s1,metadata_required,tumor_aggressive,-0.199623983113582,-0.00141853260759855,-0.198205450505983,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641003_C1_D10_ROI1_s1,metadata_required,immune_maturity,-0.10119380519084,-0.0070069985380785,-0.0941868066527615,0.00899100899100899,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641004_C1_D10_ROI2_s1,metadata_required,immune_core,-0.428087060824141,-0.00746080602365659,-0.420626254800485,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641004_C1_D10_ROI2_s1,metadata_required,ifn_mhc,-0.385750434728065,-0.00681898874667738,-0.378931445981388,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641004_C1_D10_ROI2_s1,metadata_required,tumor_aggressive,-0.592186689594922,-0.00326478838316418,-0.588921901211758,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641004_C1_D10_ROI2_s1,metadata_required,immune_maturity,-0.276002473241477,-0.00342066644377807,-0.272581806797699,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641005_C1_D11_ROI1_s1,metadata_required,immune_core,-0.0797541808227341,-0.00352476464117696,-0.0762294161815571,0.00999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641005_C1_D11_ROI1_s1,metadata_required,ifn_mhc,-0.0669174883837421,-0.00732934750077773,-0.0595881408829643,0.048951048951049,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641005_C1_D11_ROI1_s1,metadata_required,tumor_aggressive,-0.103648732382954,-0.0128955562761692,-0.0907531761067848,0.00799200799200799,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641005_C1_D11_ROI1_s1,metadata_required,immune_maturity,0.083974508384749,-0.0120739714164353,0.0960484798011843,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641006_C1_D11_ROI2_s1,metadata_required,immune_core,-0.0875086109721956,-0.00173471320642905,-0.0857738977657665,0.001998001998002,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641006_C1_D11_ROI2_s1,metadata_required,ifn_mhc,0.0333018251596564,-0.00866127660488602,0.0419631017645425,0.915084915084915,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641006_C1_D11_ROI2_s1,metadata_required,tumor_aggressive,0.0822137029840932,-0.0207719505030834,0.102985653487177,0.997002997002997,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641006_C1_D11_ROI2_s1,metadata_required,immune_maturity,-0.0469608825432913,-0.00569477220758622,-0.0412661103357051,0.0669330669330669,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641007_C1_D12_ROI1_s1,metadata_required,immune_core,-0.369945208791775,0.00438179479998886,-0.374327003591764,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641007_C1_D12_ROI1_s1,metadata_required,ifn_mhc,-0.271403608659406,-0.000643008281451622,-0.270760600377954,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
